n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,1.3821082436576895,1.0,0.19723796844482422,0.5012027136363195,1.0,1
1,mean,1.0,True,False,1.3408995770504457,0.9701841973692402,0.27352118492126465,0.4961106708741617,0.6666666666666666,1
1,knn,1.0,True,True,2.4286374543227724,1.7571977198366815,0.23031091690063477,0.5371282230270981,0.6666666666666666,1
1,mice,1.0,True,False,1.3408995770504457,0.9701841973692402,0.24656200408935547,0.4961106708741617,0.6666666666666666,1
1,robust,1.0,True,True,2.4286374543227724,1.7571977198366815,0.9802188873291016,0.5371282230270981,0.6666666666666666,1
1,armin,0.75,True,True,2.4286374543227724,1.7571977198366815,70.93614935874939,0.5371282230270981,0.6666666666666666,1
2,mean,1.0,True,True,1.3821082436576895,1.0,0.3018159866333008,0.5012027136363195,1.0,1
2,knn,1.0,True,True,2.2184412671614107,1.6051139824550948,0.30945587158203125,0.5209768846779236,1.0,1
2,mice,1.0,True,True,1.3821082436576895,1.0,0.2699089050292969,0.5012027136363195,1.0,1
2,robust,1.0,True,True,2.508545328416905,1.8150136502898997,1.3095731735229492,0.5505302107623352,1.0,1
2,armin,0.75,True,True,2.2184412671614107,1.6051139824550948,96.28307437896729,0.5209768846779236,1.0,1
3,mean,1.0,True,False,1.023594221609272,0.7406035137308596,0.17879295349121094,0.49035121345646876,0.6666666666666666,1
3,knn,1.0,True,True,1.3821082436576895,1.0,0.2313239574432373,0.5012027136363195,1.0,1
3,mice,1.0,True,True,1.3821082436576895,1.0,0.20601606369018555,0.5012027136363195,1.0,1
3,robust,1.0,True,True,2.0703230660524823,1.4979456750604874,0.3133251667022705,0.510138879765283,1.0,1
3,armin,0.75,True,True,2.0703230660524823,1.4979456750604874,79.43299078941345,0.510138879765283,1.0,1
0,optimal,1.0,True,True,2.59267175974933,1.0,0.9009048938751221,0.5061366951592299,1.0,1
1,mean,1.0,True,False,2.519389068365529,0.97173468214469,0.6195721626281738,0.49257325065963314,1.0,1
1,knn,1.0,True,True,2.59267175974933,1.0,0.9135971069335938,0.5061366951592299,1.0,1
1,mice,1.0,True,True,2.59267175974933,1.0,0.8183209896087646,0.5061366951592299,1.0,1
1,robust,1.0,True,True,2.760125433584378,1.0645873019619108,0.7458059787750244,0.5140006054839747,1.0,1
1,armin,0.75,True,True,2.760125433584378,1.0645873019619108,259.7559862136841,0.5140006054839747,1.0,1
2,mean,1.0,True,False,2.0713400989332853,0.7989210709548327,0.6671929359436035,0.45704021299950315,1.0,1
2,knn,1.0,False,False,3.332821997893541,1.2854778031044594,0.8664000034332275,0.48879271360089704,1.0,1
2,mice,1.0,True,True,3.082758951330368,1.1890278589019776,0.981287956237793,0.511600555327268,1.0,1
2,robust,1.0,False,False,5.855295547007274,2.2584021772094234,26.23688054084778,0.5392958866844707,0.75,1
2,armin,0.75,False,False,4.820922582091821,1.8594419304964112,429.2574734687805,0.5308315022284319,0.75,1
3,mean,1.0,True,False,1.7991694509698548,0.6939441694477383,0.5777130126953125,0.3953781296679427,0.75,1
3,knn,1.0,True,False,1.8895054161484233,0.7287869777742743,0.5392038822174072,0.40727046628222363,0.75,1
3,mice,1.0,True,True,2.59267175974933,1.0,0.7828161716461182,0.5061366951592299,1.0,1
