n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,0.2949283611032108,1.0,0.010071039199829102,0.5001326414861507,1.0,1
1,mean,1.0,True,True,0.2949283611032108,1.0,0.008476018905639648,0.5001326414861507,1.0,1
1,knn,1.0,True,True,0.2949283611032108,1.0,0.00872802734375,0.5001326414861507,1.0,1
1,mice,1.0,True,True,0.2949283611032108,1.0,0.008388042449951172,0.5001326414861507,1.0,1
1,robust,1.0,True,True,0.2949283611032108,1.0,0.12662649154663086,0.5001326414861507,1.0,1
1,armin,0.75,True,True,0.2949283611032108,1.0,12.002020120620728,0.5001326414861507,1.0,1
2,mean,1.0,True,True,1.3318164319935113,4.515728589179117,0.011659860610961914,0.5187136379716553,0.5,1
2,knn,1.0,True,True,1.3318164319935113,4.515728589179117,0.011855125427246094,0.5187136379716553,0.5,1
2,mice,1.0,True,True,1.3318164319935113,4.515728589179117,0.011784076690673828,0.5187136379716553,0.5,1
2,robust,1.0,True,True,1.3318164319935113,4.515728589179117,0.1254417896270752,0.5187136379716553,0.5,1
2,armin,0.75,True,True,1.3318164319935113,4.515728589179117,12.142765283584595,0.5187136379716553,0.5,1
3,mean,1.0,True,True,0.2949283611032108,1.0,0.008446931838989258,0.5001326414861507,1.0,1
3,knn,1.0,True,False,0.0,0.0,0.016249895095825195,0.4854415310115972,0.0,1
3,mice,1.0,True,False,0.0,0.0,0.015917062759399414,0.4854415310115972,0.0,1
3,robust,1.0,True,True,78.19361551034126,265.1274879697895,8.77238655090332,0.6104554017349354,0.0,1
3,armin,0.75,True,False,0.0,0.0,14.183603048324585,0.4854415310115972,0.0,1
0,optimal,1.0,True,True,2.7577545056636703,1.0,0.008005142211914062,0.5137830559803993,1.0,1
1,mean,1.0,True,True,2.7577545056636703,1.0,0.00795292854309082,0.5137830559803993,1.0,1
1,knn,1.0,True,True,2.7577545056636703,1.0,0.007467031478881836,0.5137830559803993,1.0,1
1,mice,1.0,True,True,2.7577545056636703,1.0,0.00760197639465332,0.5137830559803993,1.0,1
1,robust,1.0,True,True,3.7187319021202705,1.3484637209305674,0.42278528213500977,0.5222303963887732,0.6666666666666666,1
1,armin,0.75,True,True,2.7577545056636703,1.0,11.954485893249512,0.5137830559803993,1.0,1
2,mean,1.0,True,True,2.7577545056636703,1.0,0.0082550048828125,0.5137830559803993,1.0,1
2,knn,1.0,True,False,1.72086643477337,0.624010016569344,0.007313966751098633,0.4968647675770438,0.5,1
2,mice,1.0,True,True,2.7577545056636703,1.0,0.007750988006591797,0.5137830559803993,1.0,1
2,robust,1.0,True,True,2.7577545056636703,1.0,0.12480401992797852,0.5137830559803993,1.0,1
2,armin,0.75,True,True,2.7577545056636703,1.0,12.300661563873291,0.5137830559803993,1.0,1
3,mean,1.0,True,True,2.7577545056636703,1.0,0.009294986724853516,0.5137830559803993,1.0,1
3,knn,1.0,True,False,20.564256995734173,7.456884560790614,0.009627103805541992,0.46881684465673396,0.5,1
3,mice,1.0,True,True,2.7577545056636703,1.0,0.00854802131652832,0.5137830559803993,1.0,1
3,robust,1.0,True,True,3.7187319021202705,1.3484637209305674,0.4230315685272217,0.5222303963887732,0.6666666666666666,1
3,armin,0.75,True,True,3.7187319021202705,1.3484637209305674,12.203763008117676,0.5222303963887732,0.6666666666666666,1
0,optimal,1.0,True,True,19.958075967389146,1.0,0.015048980712890625,0.5013470097034259,1.0,1
1,mean,1.0,True,True,19.958075967389146,1.0,0.014456987380981445,0.5013470097034259,1.0,1
1,knn,1.0,True,True,19.958075967389146,1.0,0.014722108840942383,0.5013470097034259,1.0,1
1,mice,1.0,True,True,19.958075967389146,1.0,0.014627933502197266,0.5013470097034259,1.0,1
1,robust,1.0,True,True,19.958075967389146,1.0,0.13081979751586914,0.5013470097034259,1.0,1
1,armin,0.75,True,True,19.958075967389146,1.0,14.695072889328003,0.5013470097034259,1.0,1
2,mean,1.0,True,True,21.6911988769475,1.0868381758036305,0.01995706558227539,0.5045112147972768,0.5,1
2,knn,1.0,True,True,21.6911988769475,1.0868381758036305,0.022619962692260742,0.5045112147972768,0.5,1
2,mice,1.0,True,True,21.6911988769475,1.0868381758036305,0.02074909210205078,0.5045112147972768,0.5,1
2,robust,1.0,True,True,22.24959667811286,1.114816714520377,5.387701988220215,0.5107433319978001,0.5,1
2,armin,0.75,True,True,22.24959667811286,1.114816714520377,16.11259436607361,0.5107433319978001,0.5,1
3,mean,1.0,True,True,19.958075967389146,1.0,0.014828920364379883,0.5013470097034259,1.0,1
3,knn,1.0,True,True,19.958075967389146,1.0,0.017410993576049805,0.5013470097034259,1.0,1
3,mice,1.0,True,True,19.958075967389146,1.0,0.014832019805908203,0.5013470097034259,1.0,1
3,robust,1.0,True,True,21.6911988769475,1.0868381758036305,2.6610453128814697,0.5045112147972768,0.5,0
3,armin,0.75,True,False,20.30586942177825,1.0174262015515618,15.33580756187439,0.4958789171972346,0.25,1
0,optimal,1.0,True,True,4.408417280740461,1.0,0.009818077087402344,0.5049485708790676,1.0,1
1,mean,1.0,False,False,7.561209414438185,1.7151755228507235,0.012288093566894531,0.500578360599337,0.5,1
1,knn,1.0,False,False,7.561209414438185,1.7151755228507235,0.010339975357055664,0.500578360599337,0.5,1
1,mice,1.0,False,False,7.561209414438185,1.7151755228507235,0.010081052780151367,0.500578360599337,0.5,1
1,robust,1.0,True,True,41.64847827863316,9.447490023366768,0.44916844367980957,0.5182963754189579,0.5,1
1,armin,0.75,True,True,41.64847827863316,9.447490023366768,15.702904224395752,0.5182963754189579,0.5,1
2,mean,1.0,True,True,4.408417280740461,1.0,0.009330987930297852,0.5049485708790676,1.0,1
2,knn,1.0,True,False,2.982479207070302,0.6765419462672437,0.009772062301635742,0.498541595153341,0.75,1
2,mice,1.0,True,True,4.408417280740461,1.0,0.009509086608886719,0.5049485708790676,1.0,1
2,robust,1.0,True,True,22.460662588568375,5.0949493113310185,0.36382460594177246,0.5151798385405499,0.75,1
2,armin,0.75,True,True,4.408417280740461,1.0,14.3002290725708,0.5049485708790676,1.0,1
3,mean,1.0,True,True,4.408417280740461,1.0,0.009140968322753906,0.5049485708790676,1.0,1
3,knn,1.0,True,True,4.408417280740461,1.0,0.009265899658203125,0.5049485708790676,1.0,1
3,mice,1.0,True,True,4.408417280740461,1.0,0.010354042053222656,0.5049485708790676,1.0,1
3,robust,1.0,True,True,25.983900856486965,5.894156383517889,0.1359095573425293,0.5208359781977,0.5,1
3,armin,0.75,True,True,25.983900856486965,5.894156383517889,14.060840606689453,0.5208359781977,0.5,1
0,optimal,1.0,True,True,0.2949283611032108,1.0,0.006008148193359375,0.5085733897703382,1.0,1
1,mean,1.0,True,True,2.9641930718770926,10.050552821672403,0.007753133773803711,0.5297658930507455,0.5,1
1,knn,1.0,True,True,0.2949283611032108,1.0,0.006281852722167969,0.5085733897703382,1.0,1
1,mice,1.0,True,True,2.9641930718770926,10.050552821672403,0.007679939270019531,0.5297658930507455,0.5,1
1,robust,1.0,True,True,2.9641930718770926,10.050552821672403,0.12384343147277832,0.5297658930507455,0.5,1
1,armin,0.75,True,True,2.9641930718770926,10.050552821672403,12.468334913253784,0.5297658930507455,0.5,1
2,mean,1.0,True,True,0.2949283611032108,1.0,0.007714033126831055,0.5085733897703382,1.0,1
2,knn,1.0,True,True,0.2949283611032108,1.0,0.0073909759521484375,0.5085733897703382,1.0,1
2,mice,1.0,True,True,0.2949283611032108,1.0,0.007735013961791992,0.5085733897703382,1.0,1
2,robust,1.0,True,True,2.9641930718770926,10.050552821672403,0.354964017868042,0.5297658930507455,0.5,1
2,armin,0.75,True,True,0.2949283611032108,1.0,11.982359886169434,0.5085733897703382,1.0,1
3,mean,1.0,True,True,2.9641930718770926,10.050552821672403,0.010585784912109375,0.5297658930507455,0.5,1
3,knn,1.0,True,False,0.0,0.0,0.008088111877441406,0.4840995581413549,0.0,1
3,mice,1.0,True,False,0.0,0.0,0.0048999786376953125,0.4840995581413549,0.0,0
3,robust,1.0,True,True,2.9641930718770926,10.050552821672403,5.848395586013794,0.5297658930507455,0.5,1
3,armin,0.75,True,True,2.9641930718770926,10.050552821672403,12.906288146972656,0.5297658930507455,0.5,0
0,optimal,1.0,True,True,42.93493966563818,1.0,0.01058197021484375,0.5029773888557446,1.0,1
1,mean,1.0,True,False,25.487163003490778,0.5936228908664041,0.007656097412109375,0.49511087727276876,0.75,1
1,knn,1.0,True,False,25.487163003490778,0.5936228908664041,0.00846099853515625,0.49511087727276876,0.75,1
1,mice,1.0,True,False,25.487163003490778,0.5936228908664041,0.007750988006591797,0.49511087727276876,0.75,1
1,robust,1.0,True,True,42.93493966563818,1.0,4.820769786834717,0.5029773888557446,1.0,1
1,armin,0.75,True,True,42.93493966563818,1.0,16.590482473373413,0.5029773888557446,1.0,1
2,mean,1.0,False,False,20.44403397988068,0.4761631002417015,0.010814905166625977,0.4871338395203982,0.5,1
2,knn,1.0,False,False,20.44403397988068,0.4761631002417015,0.011309146881103516,0.4871338395203982,0.5,1
2,mice,1.0,False,False,20.44403397988068,0.4761631002417015,0.011173009872436523,0.4871338395203982,0.5,1
2,robust,1.0,True,False,44.05317606995922,1.026044904523669,8.527325868606567,0.48959927382921653,0.5,1
2,armin,0.75,True,True,61.565194050025326,1.4339182616645754,12.901158809661865,0.5020235009884378,0.5,1
3,mean,1.0,True,False,0.0,0.0,0.005160808563232422,0.4506524766376895,0.0,0
3,knn,1.0,True,False,0.0,0.0,0.0046579837799072266,0.4506524766376895,0.0,0
3,mice,1.0,True,True,42.93493966563818,1.0,0.010481119155883789,0.5029773888557446,1.0,1
3,robust,1.0,True,True,42.93493966563818,1.0,8.073929071426392,0.5029773888557446,1.0,1
3,armin,0.75,True,True,42.93493966563818,1.0,12.424612522125244,0.5029773888557446,1.0,1
0,optimal,1.0,True,True,45.21963990905337,1.0,0.010853052139282227,0.5012935130598093,1.0,1
1,mean,1.0,True,True,46.85250706630275,1.0361096895183914,0.009147882461547852,0.5025220677912652,1.0,1
1,knn,1.0,True,True,46.85250706630275,1.0361096895183914,0.009704113006591797,0.5025220677912652,1.0,1
1,mice,1.0,True,True,46.85250706630275,1.0361096895183914,0.009283065795898438,0.5025220677912652,1.0,1
1,robust,1.0,True,False,0.0,0.0,0.11560392379760742,0.3133926463222309,0.0,1
1,armin,0.75,True,True,46.85250706630275,1.0361096895183914,16.855709314346313,0.5025220677912652,1.0,1
2,mean,1.0,True,False,27.73160912712356,0.6132647049577997,0.008764028549194336,0.4596905221729102,0.75,1
2,knn,1.0,True,False,27.73160912712356,0.6132647049577997,0.008614778518676758,0.4596905221729102,0.75,1
2,mice,1.0,True,False,45.181386739241574,0.9991540585044744,0.008810043334960938,0.48035322960086596,1.0,1
2,robust,1.0,True,False,0.0,0.0,0.11482453346252441,0.3133926463222309,0.0,1
2,armin,0.75,True,False,0.0,0.0,13.189204454421997,0.3133926463222309,0.0,1
3,mean,1.0,True,False,41.22352939511221,0.9116288736049598,0.010974884033203125,0.4295223566188415,0.5,1
3,knn,1.0,True,False,42.373587122230084,0.937061577833275,0.010111093521118164,0.4295223566188415,0.75,1
3,mice,1.0,True,True,46.25652797994367,1.0229300382085242,0.009907960891723633,0.5069803160830391,1.0,1
3,robust,1.0,False,False,46.83895422247252,1.0358099780687318,21.05043935775757,0.495090280623254,1.0,1
3,armin,0.75,True,False,0.0,0.0,12.193166494369507,0.3133926463222309,0.0,1
0,optimal,1.0,True,True,3.013513152267105,1.0,0.007462024688720703,0.5013957852131774,1.0,1
1,mean,1.0,False,False,3.201208943023092,1.0622847093316254,0.007925033569335938,0.5013957852131774,1.0,1
1,knn,1.0,False,False,3.201208943023092,1.0622847093316254,0.007986068725585938,0.5013957852131774,1.0,1
1,mice,1.0,False,False,3.201208943023092,1.0622847093316254,0.008192062377929688,0.5013957852131774,1.0,1
1,robust,1.0,True,True,20.275107134717235,6.7280632637903075,0.12998628616333008,0.5032259050607636,0.3333333333333333,1
1,armin,0.75,True,True,20.275107134717235,6.7280632637903075,12.638160467147827,0.5032259050607636,0.3333333333333333,1
2,mean,1.0,True,False,19.885977469339377,6.598935018544352,0.007179975509643555,0.4902360396089873,0.75,1
2,knn,1.0,True,False,19.885977469339377,6.598935018544352,0.006833076477050781,0.4902360396089873,0.75,1
2,mice,1.0,True,False,19.885977469339377,6.598935018544352,0.006990909576416016,0.4902360396089873,0.75,1
2,robust,1.0,True,True,20.44286650379668,6.78373229876805,0.4454309940338135,0.5222871860262872,0.6666666666666666,1
2,armin,0.75,True,True,20.44286650379668,6.78373229876805,13.302830219268799,0.5222871860262872,0.6666666666666666,1
3,mean,1.0,True,False,0.0,0.0,0.00506901741027832,0.4543352335402215,0.0,0
3,knn,1.0,True,False,0.0,0.0,0.0044040679931640625,0.4543352335402215,0.0,0
3,mice,1.0,True,False,0.0,0.0,0.004524946212768555,0.4543352335402215,0.0,0
3,robust,1.0,True,True,40.014165415436864,13.27824482376448,1.215466022491455,0.5257705254888405,0.5,1
3,armin,0.75,True,True,20.44286650379668,6.78373229876805,13.075735569000244,0.5222871860262872,0.6666666666666666,0
0,optimal,1.0,True,True,2.492434455533311,1.0,0.008777141571044922,0.5044503161263115,1.0,1
1,mean,1.0,True,True,2.492434455533311,1.0,0.009282827377319336,0.5044503161263115,1.0,1
1,knn,1.0,True,True,2.492434455533311,1.0,0.008762121200561523,0.5044503161263115,1.0,1
1,mice,1.0,True,True,2.492434455533311,1.0,0.009354829788208008,0.5044503161263115,1.0,1
1,robust,1.0,True,True,2.492434455533311,1.0,0.36366987228393555,0.5044503161263115,1.0,1
1,armin,0.75,True,True,2.492434455533311,1.0,12.588599920272827,0.5044503161263115,1.0,1
2,mean,1.0,True,True,2.492434455533311,1.0,0.008723974227905273,0.5044503161263115,1.0,1
2,knn,1.0,True,True,2.492434455533311,1.0,0.008791208267211914,0.5044503161263115,1.0,1
2,mice,1.0,True,True,2.492434455533311,1.0,0.00898885726928711,0.5044503161263115,1.0,1
2,robust,1.0,True,True,2.492434455533311,1.0,0.12196135520935059,0.5044503161263115,1.0,1
2,armin,0.75,True,True,2.492434455533311,1.0,12.529423475265503,0.5044503161263115,1.0,1
3,mean,1.0,False,False,18.458361504023955,7.405756032238122,0.012874841690063477,0.4722284354449314,0.6666666666666666,1
3,knn,1.0,False,False,2.680130246289298,1.0753062092924026,0.010830163955688477,0.5044503161263115,1.0,1
3,mice,1.0,False,False,2.680130246289298,1.0753062092924026,0.009454965591430664,0.5044503161263115,1.0,1
3,robust,1.0,True,True,5.545432422726303,2.2249060192596866,0.7913403511047363,0.5276886758705743,0.6666666666666666,1
3,armin,0.75,True,True,5.545432422726303,2.2249060192596866,12.56313943862915,0.5276886758705743,0.6666666666666666,1
0,optimal,1.0,True,True,1.72086643477337,1.0,0.007283926010131836,0.5015638070305514,1.0,1
1,mean,1.0,True,True,1.72086643477337,1.0,0.006844997406005859,0.5015638070305514,1.0,1
1,knn,1.0,True,True,1.72086643477337,1.0,0.007043123245239258,0.5015638070305514,1.0,1
1,mice,1.0,True,True,1.72086643477337,1.0,0.006989002227783203,0.5015638070305514,1.0,1
1,robust,1.0,True,True,1.72086643477337,1.0,0.13101959228515625,0.5015638070305514,1.0,1
1,armin,0.75,True,True,1.72086643477337,1.0,12.180853366851807,0.5015638070305514,1.0,1
2,mean,1.0,True,True,1.72086643477337,1.0,0.008260965347290039,0.5015638070305514,1.0,1
2,knn,1.0,True,True,1.72086643477337,1.0,0.00826716423034668,0.5015638070305514,1.0,1
2,mice,1.0,True,True,3.2652437971329618,1.897441736995108,0.012006044387817383,0.5027413468242935,0.0,1
2,robust,1.0,True,True,20.275107134717235,11.781917948435883,0.45581984519958496,0.5411155236770401,0.5,1
2,armin,0.75,True,True,20.275107134717235,11.781917948435883,13.573680639266968,0.5411155236770401,0.5,1
3,mean,1.0,True,True,3.3149899048451488,1.9263493306973107,0.01111292839050293,0.5055424974945079,0.5,1
3,knn,1.0,True,True,5.420159992273261,3.1496691914890365,0.022037029266357422,0.5083128018352827,0.0,1
3,mice,1.0,True,True,3.3149899048451488,1.9263493306973107,0.010994911193847656,0.5055424974945079,0.5,1
3,robust,1.0,True,True,6.0161390786323405,3.495994202144246,0.12682104110717773,0.5190459044895177,0.0,1
3,armin,0.75,True,True,3.3149899048451488,1.9263493306973107,13.385768175125122,0.5055424974945079,0.5,1
0,optimal,1.0,True,True,0.6622090670006519,1.0,0.008094072341918945,0.5131276284630925,1.0,1
1,mean,1.0,True,True,0.6622090670006519,1.0,0.0076677799224853516,0.5131276284630925,1.0,1
1,knn,1.0,True,False,0.0,0.0,0.0060617923736572266,0.496984616422303,0.0,0
1,mice,1.0,True,True,0.6622090670006519,1.0,0.007772922515869141,0.5131276284630925,1.0,1
1,robust,1.0,True,True,0.6622090670006519,1.0,0.12479615211486816,0.5131276284630925,1.0,1
1,armin,0.75,True,True,0.6622090670006519,1.0,12.139645099639893,0.5131276284630925,1.0,1
