n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,1.5482404845040207,1.0,0.008125066757202148,0.5000280875369112,1.0,1
1,mean,1.0,True,True,2.06693078268561,1.3350192062363953,0.008208036422729492,0.5659051665841666,0.6666666666666666,1
1,knn,1.0,True,True,2.06693078268561,1.3350192062363953,0.02069401741027832,0.5659051665841666,0.6666666666666666,1
1,mice,1.0,True,True,2.06693078268561,1.3350192062363953,0.008129119873046875,0.5659051665841666,0.6666666666666666,1
1,robust,1.0,True,True,3.777671154586007,2.4399769883269684,0.053542137145996094,0.7314638804366922,0.6666666666666666,1
1,armin,0.75,True,True,2.691916106014413,1.7386937836577558,0.04901003837585449,0.6244672116513035,0.6666666666666666,1
2,mean,1.0,True,True,1.802002927412134,1.163903763948794,0.006742000579833984,0.5345827793620919,0.6666666666666666,1
2,knn,1.0,True,True,1.802002927412134,1.163903763948794,0.0385439395904541,0.5345827793620919,0.6666666666666666,1
2,mice,1.0,True,True,1.802002927412134,1.163903763948794,0.006685972213745117,0.5345827793620919,0.6666666666666666,1
2,robust,1.0,True,True,3.3401989159324676,2.1574160793260106,0.04881763458251953,0.6946561478166277,0.6666666666666666,1
2,armin,0.75,True,True,2.5541924045195628,1.6497388035540221,0.04413604736328125,0.6131179282981778,0.5,1
3,mean,1.0,True,True,1.802002927412134,1.163903763948794,0.0066661834716796875,0.5345827793620919,0.6666666666666666,1
3,knn,1.0,True,True,1.802002927412134,1.163903763948794,0.03859901428222656,0.5345827793620919,0.6666666666666666,1
3,mice,1.0,True,True,1.802002927412134,1.163903763948794,0.006696939468383789,0.5345827793620919,0.6666666666666666,1
3,robust,1.0,True,True,3.3401989159324676,2.1574160793260106,0.04921579360961914,0.6946561478166277,0.6666666666666666,1
3,armin,0.75,True,True,2.5541924045195628,1.6497388035540221,0.04495501518249512,0.6131179282981778,0.5,1
0,optimal,1.0,True,True,1.6497290148167663,1.0,0.0070269107818603516,0.5006628021368518,1.0,1
1,mean,1.0,True,True,1.6497290148167663,1.0,0.008522987365722656,0.5006628021368518,1.0,1
1,knn,1.0,True,True,1.6497290148167663,1.0,0.03911995887756348,0.5006628021368518,1.0,1
1,mice,1.0,True,True,1.6497290148167663,1.0,0.0071032047271728516,0.5006628021368518,1.0,1
1,robust,1.0,True,True,1.9145328391328718,1.1605135279417493,0.04862189292907715,0.5349156761263073,0.75,1
1,armin,0.75,True,True,1.6497290148167663,1.0,0.0405271053314209,0.5006628021368518,1.0,1
2,mean,1.0,True,False,0.8593503674644237,0.5209039543745134,0.0042040348052978516,0.42170008555999394,0.6666666666666666,1
2,knn,1.0,True,True,1.6497290148167663,1.0,0.039186954498291016,0.5006628021368518,1.0,1
