n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,2.362544090671456,1.0,0.029933929443359375,0.5055868896257514,1.0,1
1,mean,1.0,True,False,2.2703765202311397,0.9609879998412553,0.01878809928894043,0.49395986045553086,1.0,1
1,knn,1.0,True,True,2.78546591056392,1.1790111861033103,0.022181987762451172,0.5520763208790205,0.75,1
1,mice,1.0,True,True,2.675511991588549,1.1324707133097969,0.0236968994140625,0.5405490563495068,0.75,1
1,robust,1.0,True,True,3.615389931505005,1.5302952210629346,0.28225255012512207,0.6525405866820768,0.5,1
1,armin,0.75,True,True,3.0044793390138005,1.2717135527235393,0.13650298118591309,0.5748559137156286,0.75,1
2,mean,1.0,True,False,2.120500636111712,0.8975496561035807,0.028770923614501953,0.4592665986163236,0.75,1
2,knn,1.0,True,False,2.2869069959919854,0.9679848960372317,0.0206449031829834,0.48243846230035514,0.75,1
2,mice,1.0,True,False,2.2869069959919854,0.9679848960372317,0.02434086799621582,0.48243846230035514,0.75,1
2,robust,1.0,True,True,2.6305349140976233,1.1134331522041572,0.18755674362182617,0.5231499817328535,0.75,1
2,armin,0.75,True,False,2.438514656943418,1.0321562533253594,0.1658918857574463,0.4998596137028166,0.75,1
3,mean,1.0,True,True,3.2636085672527244,1.381395835167325,0.03621506690979004,0.5975357808339778,0.75,1
3,knn,1.0,True,False,1.8175927610689886,0.7693370753357719,0.0341029167175293,0.42351451142229113,0.75,1
3,mice,1.0,True,False,2.336042693345132,0.9887826866677473,0.021249055862426758,0.4999029948750656,0.75,1
3,robust,1.0,True,True,4.024700455938661,1.7035451197843279,0.14230942726135254,0.7064728311408712,0.5,1
3,armin,0.75,True,True,2.899205350725808,1.2271539660035842,0.1290590763092041,0.5635478904032885,0.75,1
0,optimal,1.0,True,True,2.179513712994906,1.0,0.02556610107421875,0.5009954260899087,1.0,1
1,mean,1.0,True,True,2.2022304424980867,1.0104228431175895,0.027184009552001953,0.5049056687360624,0.75,1
1,knn,1.0,True,True,2.2022304424980867,1.0104228431175895,0.030668973922729492,0.5049056687360624,0.75,1
1,mice,1.0,True,True,2.179513712994906,1.0,0.02696394920349121,0.5009954260899087,1.0,1
1,robust,1.0,True,True,2.2022304424980867,1.0104228431175895,0.23389816284179688,0.5049056687360624,0.75,1
1,armin,0.75,True,True,2.2022304424980867,1.0104228431175895,0.12300610542297363,0.5049056687360624,0.75,1
2,mean,1.0,True,True,2.179513712994906,1.0,0.02668309211730957,0.5009954260899087,1.0,1
2,knn,1.0,True,False,2.161867939677311,0.991903802571929,0.025561094284057617,0.4977381937722216,0.75,1
2,mice,1.0,True,True,2.179513712994906,1.0,0.024803876876831055,0.5009954260899087,1.0,1
2,robust,1.0,True,True,2.5737149343827985,1.180866593789958,0.1409778594970703,0.5454890937878718,0.75,1
2,armin,0.75,True,True,2.284855632185571,1.0483327627454626,0.10339593887329102,0.5126203018449969,1.0,1
3,mean,1.0,True,False,2.0133080021968155,0.9237418375451723,0.026855945587158203,0.48367100764272364,0.75,1
3,knn,1.0,True,False,2.072906191061402,0.9510865560065632,0.02562403678894043,0.48946757967026033,0.75,1
3,mice,1.0,True,True,2.233791204354534,1.0249034869732683,0.028367042541503906,0.5037074488351418,0.5,1
3,robust,1.0,True,True,2.895041397318464,1.328296940761313,0.16087841987609863,0.5767054989370849,0.5,1
3,armin,0.75,True,True,2.3329390921631443,1.0703943169769803,0.09226703643798828,0.5153302657864562,0.5,1
0,optimal,1.0,True,True,0.736603621754951,1.0,0.016897916793823242,0.5000723278410484,1.0,1
1,mean,1.0,True,False,0.5782739620170485,0.7850544647599158,0.02252793312072754,0.46985811883478634,1.0,1
1,knn,1.0,True,False,0.6598460114345994,0.8957952309038648,0.03183889389038086,0.4854306875953226,1.0,1
1,mice,1.0,True,True,0.736603621754951,1.0,0.01624608039855957,0.5000723278410484,1.0,1
1,robust,1.0,True,True,1.6534829133034001,2.2447390488849255,0.11965632438659668,0.6334861647418703,0.75,1
1,armin,0.75,True,True,0.9288516053362523,1.2609924495392413,0.10769796371459961,0.5318934227893872,1.0,1
2,mean,1.0,True,False,0.37251078091222145,0.5057140229974951,0.020805835723876953,0.4046438203520428,0.5,1
2,knn,1.0,True,False,0.7748427045843522,1.051912699992293,0.020678043365478516,0.47735581956151085,0.75,1
2,mice,1.0,True,True,0.8441205253052342,1.1459630395165927,0.017030000686645508,0.5151587319332305,1.0,1
2,robust,1.0,True,True,1.6117437555079288,2.1880747092553863,0.1721949577331543,0.6278621318511031,0.75,1
2,armin,0.75,True,True,1.052852089146139,1.4293333049839332,0.0754098892211914,0.5498795850017708,1.0,1
3,mean,1.0,True,True,2.0625339555414515,2.800059481960575,0.028504133224487305,0.6834043508148904,0.75,1
3,knn,1.0,True,True,2.1263935038925106,2.886754071105975,0.02491903305053711,0.688605294507421,0.75,1
3,mice,1.0,True,False,0.7340977333723986,0.9965980504187827,0.029124021530151367,0.4991130582544824,1.0,1
3,robust,1.0,True,True,1.6700489825196756,2.2672288503561795,0.1348111629486084,0.6358724071592214,0.75,1
3,armin,0.75,True,True,0.8722186844784372,1.1841086015846414,0.09182381629943848,0.5233105282192487,1.0,1
0,optimal,1.0,True,True,2.7201518282131136,1.0,0.030677080154418945,0.5002660396727839,1.0,1
1,mean,1.0,True,False,2.1738950173046803,0.7991814996344255,0.024658918380737305,0.4329698918510473,0.75,1
1,knn,1.0,True,False,2.212539594849755,0.8133882718977444,0.020817995071411133,0.4379977742240093,0.75,1
1,mice,1.0,True,False,2.359442117152999,0.8673935376257775,0.02858901023864746,0.4527036372774903,0.75,1
1,robust,1.0,True,True,2.9210293521580577,1.0738479087312203,0.14699316024780273,0.5119659772510086,0.75,1
1,armin,0.75,True,False,2.554352455196506,0.9390477504612225,0.11929702758789062,0.4725871871271281,0.75,1
2,mean,1.0,True,True,2.91146728646204,1.0703326396212973,0.03445696830749512,0.5235038155375831,1.0,1
2,knn,1.0,True,True,3.0463042719264655,1.1199022938096819,0.04239702224731445,0.5376502272650634,1.0,1
2,mice,1.0,True,True,3.210928376710945,1.180422483556819,0.032768964767456055,0.5551601816009616,1.0,1
2,robust,1.0,True,True,4.058832096479234,1.4921343927870043,0.14835858345031738,0.6478987354450542,1.0,1
2,armin,0.75,True,True,3.378848996042997,1.242154559535225,0.10997486114501953,0.575622197972226,1.0,1
3,mean,1.0,True,False,1.3683878107591971,0.5030556737923341,0.027019977569580078,0.3539276871909749,0.5,1
3,knn,1.0,True,False,1.7898383745683195,0.6579920855903387,0.03381705284118652,0.39865031078704183,0.5,1
3,mice,1.0,True,False,2.471959624091687,0.9087579591891876,0.03286099433898926,0.47599974998857786,1.0,1
3,robust,1.0,True,True,3.7730102658632876,1.3870587026540366,0.13829445838928223,0.6103053012853148,0.75,1
3,armin,0.75,True,True,2.834281126764009,1.0419569589341149,0.12040591239929199,0.5047243987624663,0.75,1
0,optimal,1.0,True,True,0.7582575492840947,1.0,0.020859956741333008,0.500313052792482,1.0,1
1,mean,1.0,True,False,0.7453804423206738,0.9830175024626148,0.01702594757080078,0.49968581336140483,0.3333333333333333,1
1,knn,1.0,True,True,0.7582575492840947,1.0,0.020745038986206055,0.500313052792482,1.0,1
1,mice,1.0,True,True,0.7582575492840947,1.0,0.020428895950317383,0.500313052792482,1.0,1
1,robust,1.0,True,True,0.7792226857685471,1.0276490969384302,0.12328648567199707,0.5035702412143436,0.6666666666666666,1
1,armin,0.75,True,True,0.7582575492840947,1.0,0.11484813690185547,0.500313052792482,1.0,1
2,mean,1.0,True,False,0.6272609411111825,0.8272399552149634,0.014946937561035156,0.48806052786209353,0.3333333333333333,1
2,knn,1.0,True,False,0.7181439504691206,0.9470976598217226,0.020982980728149414,0.4977694940056422,0.6666666666666666,1
2,mice,1.0,True,False,0.6272609411111825,0.8272399552149634,0.012867212295532227,0.48806052786209353,0.3333333333333333,1
2,robust,1.0,True,True,1.5057866588493498,1.985851193002999,0.16953754425048828,0.6159212391914339,1.0,1
2,armin,0.75,True,True,1.0034901198043678,1.323415930051482,0.09400296211242676,0.5229248399727544,0.3333333333333333,1
3,mean,1.0,True,True,0.8152983151941596,1.075226110130944,0.026874065399169922,0.506139477111512,1.0,1
3,knn,1.0,True,False,0.6272609411111825,0.8272399552149634,0.014022111892700195,0.48806052786209353,0.3333333333333333,1
3,mice,1.0,True,False,0.6272609411111825,0.8272399552149634,0.013778209686279297,0.48806052786209353,0.3333333333333333,1
3,robust,1.0,True,True,1.1135856392412784,1.4686113449086857,0.11057925224304199,0.5784370265088641,0.3333333333333333,1
3,armin,0.75,True,True,0.8152983151941596,1.075226110130944,0.09797883033752441,0.506139477111512,1.0,1
0,optimal,1.0,True,True,1.2392123257088958,1.0,0.021585941314697266,0.5042826461506233,1.0,1
1,mean,1.0,True,True,1.2819137757052839,1.0344585420193917,0.013657808303833008,0.5641935977995504,0.3333333333333333,1
1,knn,1.0,True,True,1.2819137757052839,1.0344585420193917,0.014245986938476562,0.5641935977995504,0.3333333333333333,1
1,mice,1.0,True,False,1.2220817808236182,0.9861762633167177,0.02077317237854004,0.4967731195196211,0.6666666666666666,1
1,robust,1.0,True,True,1.2819137757052839,1.0344585420193917,0.11329412460327148,0.5641935977995504,0.3333333333333333,1
1,armin,0.75,True,True,1.2732893711521172,1.027498956180675,0.12705397605895996,0.506341350538164,1.0,1
2,mean,1.0,True,True,1.2732893711521172,1.027498956180675,0.01866888999938965,0.506341350538164,1.0,1
2,knn,1.0,True,False,1.2220817808236182,0.9861762633167177,0.023936986923217773,0.4967731195196211,0.6666666666666666,1
2,mice,1.0,True,True,1.2392123257088958,1.0,0.022539854049682617,0.5042826461506233,1.0,1
2,robust,1.0,True,True,1.2819137757052839,1.0344585420193917,0.1246480941772461,0.5641935977995504,0.3333333333333333,1
2,armin,0.75,True,True,1.2392123257088958,1.0,0.09660792350769043,0.5042826461506233,1.0,1
3,mean,1.0,True,True,1.2392123257088958,1.0,0.020762920379638672,0.5042826461506233,1.0,1
3,knn,1.0,True,True,1.2392123257088958,1.0,0.021597862243652344,0.5042826461506233,1.0,1
3,mice,1.0,True,False,1.1874837314201252,0.9582568755849171,0.021058082580566406,0.49471433193869296,1.0,1
3,robust,1.0,True,True,1.2819137757052839,1.0344585420193917,0.12444067001342773,0.5641935977995504,0.3333333333333333,1
3,armin,0.75,True,True,1.2392123257088958,1.0,0.09256815910339355,0.5042826461506233,1.0,1
0,optimal,1.0,True,True,4.607808134194389,1.0,0.02746105194091797,0.5009134198954419,1.0,1
1,mean,1.0,True,True,4.607808134194389,1.0,0.02789783477783203,0.5009134198954419,1.0,1
1,knn,1.0,True,True,4.607808134194389,1.0,0.028056859970092773,0.5009134198954419,1.0,1
1,mice,1.0,True,True,4.607808134194389,1.0,0.03035116195678711,0.5009134198954419,1.0,1
1,robust,1.0,True,True,4.8261530487594,1.0473858520593946,0.14177274703979492,0.5277425715079664,1.0,1
1,armin,0.75,True,True,4.6637764614243125,1.0121464100934638,0.19368505477905273,0.5069493937858542,1.0,1
2,mean,1.0,True,False,4.598913933887741,0.9980697546322199,0.03822779655456543,0.4983405020772813,1.0,1
2,knn,1.0,True,True,4.8261530487594,1.0473858520593946,0.0356450080871582,0.5277425715079664,1.0,1
2,mice,1.0,True,True,4.753036547641981,1.0315178951071893,0.03539299964904785,0.5161379308015885,1.0,1
2,robust,1.0,True,True,5.334351978806062,1.1576766704368646,0.14814519882202148,0.593837890954159,1.0,1
2,armin,0.75,True,True,4.880857345168536,1.0592579384866,0.11928486824035645,0.5363163735430754,1.0,1
3,mean,1.0,True,True,5.235204090997452,1.1361593057981685,0.03371596336364746,0.5825727483150034,1.0,1
3,knn,1.0,True,True,5.350595297629641,1.1612018430027615,0.046298980712890625,0.5944015363649056,1.0,1
3,mice,1.0,True,True,5.1166423814062325,1.1104286967670813,0.04066896438598633,0.5682612800731954,1.0,1
3,robust,1.0,True,True,5.846955909963624,1.26892347504089,0.15413498878479004,0.6806174058063736,1.0,1
3,armin,0.75,True,True,5.373748813354458,1.1662266867138085,0.11402416229248047,0.5973088089230552,1.0,1
0,optimal,1.0,True,True,2.4348459757440732,1.0,0.021274089813232422,0.5015068618419516,1.0,1
1,mean,1.0,True,False,2.270830054834109,0.9326380713425447,0.02570199966430664,0.4764431048560137,0.5,1
1,knn,1.0,True,False,2.328079136033092,0.9561504749069994,0.021868228912353516,0.48808137572360055,0.5,1
1,mice,1.0,True,False,2.270830054834109,0.9326380713425447,0.02602386474609375,0.4764431048560137,0.5,1
1,robust,1.0,True,True,2.5932539378136017,1.0650587197907333,0.12384319305419922,0.5287567467235081,0.75,1
1,armin,0.75,True,False,2.328079136033092,0.9561504749069994,0.14084601402282715,0.48808137572360055,0.5,1
2,mean,1.0,True,False,1.9580365593688347,0.8041726576854502,0.02013707160949707,0.42042586857854636,0.75,1
2,knn,1.0,True,False,2.270830054834109,0.9326380713425447,0.029330015182495117,0.4764431048560137,0.5,1
2,mice,1.0,True,False,2.189561022555782,0.899260587473779,0.029263973236083984,0.4587468459259748,0.75,1
2,robust,1.0,True,True,3.0799316216514563,1.2649389950468013,0.13009881973266602,0.6285252748309478,0.75,1
2,armin,0.75,True,False,2.297421305985934,0.9435591938351898,0.09741592407226562,0.4822598343676312,0.5,1
3,mean,1.0,True,True,2.6329617351110954,1.081366854963579,0.021392107009887695,0.5345600536470263,0.75,1
3,knn,1.0,True,True,2.51265321766532,1.031955714117592,0.023132801055908203,0.517154226130721,0.75,1
3,mice,1.0,True,True,2.552361014962814,1.0482638492904377,0.03599715232849121,0.522971511364463,0.75,1
3,robust,1.0,True,True,2.6501419256693315,1.0884228210203173,0.13015246391296387,0.5613205476939316,0.25,1
3,armin,0.75,True,True,2.5463035562588825,1.0457760292129972,0.0908060073852539,0.5189520706814787,1.0,1
0,optimal,1.0,True,True,3.059538762173527,1.0,0.03421306610107422,0.5017913032474837,1.0,1
1,mean,1.0,True,False,2.9858921608558666,0.9759288549541563,0.02906513214111328,0.4875933776189254,1.0,1
1,knn,1.0,True,False,2.9382481196593617,0.9603565596181566,0.026793956756591797,0.48156277337050524,1.0,1
1,mice,1.0,True,False,2.9858921608558666,0.9759288549541563,0.029020071029663086,0.4875933776189254,1.0,1
1,robust,1.0,True,True,3.0978394665507203,1.0125184569813994,0.1396338939666748,0.507381909629355,1.0,1
1,armin,0.75,True,False,3.0214005349806667,0.9875346481422689,0.15594792366027832,0.4957549924974678,1.0,1
2,mean,1.0,True,False,2.0860067449327566,0.6818043198939034,0.02647709846496582,0.35419245024554413,1.0,1
2,knn,1.0,True,False,2.6665876374074404,0.8715652406093624,0.029541969299316406,0.4294810097078481,1.0,1
2,mice,1.0,True,False,2.9482840338632483,0.9636367645719115,0.03248405456542969,0.48413266478182637,1.0,1
2,robust,1.0,True,True,3.8832706711697162,1.2692340163100277,0.1380622386932373,0.6108257623903021,0.6666666666666666,1
2,armin,0.75,True,True,3.261466564777598,1.065999426155536,0.11901187896728516,0.5310428635838776,1.0,1
