n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,2.3952660878746364,1.0,0.017706871032714844,0.5018711406022998,1.0,1
2,armin,0.5,100,True,True,2.627379154001482,1.0969049189573772,0.06646609306335449,0.5288102849505737,0.75,1
2,armin,0.55,100,True,True,2.7401044804700216,1.143966632492746,0.07744312286376953,0.5403816443376313,0.75,1
2,armin,0.6,100,True,True,2.7401044804700216,1.143966632492746,0.07450294494628906,0.5403816443376313,0.75,1
2,armin,0.65,100,True,True,2.8070068537368495,1.1718977143902864,0.06654191017150879,0.5424264625520911,0.75,1
2,armin,0.7,100,True,True,2.9286280115580454,1.222673349897702,0.08122920989990234,0.5539454929651575,0.75,1
2,armin,0.75,100,True,True,2.8569482063714187,1.1927477372279927,0.058836936950683594,0.5519096273002229,0.75,1
2,armin,0.8,100,True,True,3.1060000465709288,1.2967244275256866,0.07056784629821777,0.5748559137156286,0.75,1
2,armin,0.85,100,True,True,3.1060000465709288,1.2967244275256866,0.06651616096496582,0.5748559137156286,0.75,1
2,armin,0.9,100,True,True,3.3013392721356936,1.3782766302448812,0.06979012489318848,0.597416436163033,0.75,1
0,optimal,1.0,0,True,True,2.2163628467965717,1.0,0.022449970245361328,0.5010213361608586,1.0,1
2,armin,0.5,100,True,False,2.185525247944182,0.9860863942485947,0.11518692970275879,0.49713688030154457,1.0,1
2,armin,0.55,100,True,False,2.171014093135323,0.9795391112394825,0.10238814353942871,0.49529289334202853,1.0,1
2,armin,0.6,100,True,False,2.2111790093512775,0.9976611061438849,0.11427593231201172,0.49910500442650785,1.0,1
2,armin,0.65,100,True,True,2.267488953832985,1.0230675708674275,0.11985397338867188,0.5068476422779782,1.0,1
2,armin,0.7,100,True,True,2.3176639516161077,1.0457060110739322,0.1168520450592041,0.5126461954803825,1.0,1
2,armin,0.75,100,True,True,2.3176639516161077,1.0457060110739322,0.09216189384460449,0.5126461954803825,1.0,1
2,armin,0.8,100,True,True,2.286826352763718,1.031792405322527,0.09719014167785645,0.5087635070158549,1.0,1
2,armin,0.85,100,True,True,2.3946280145572523,1.0804314004894717,0.07608699798583984,0.5203806614430944,1.0,1
2,armin,0.9,100,True,True,2.4254656134096426,1.0943450062408773,0.0741419792175293,0.5242573903420223,1.0,1
0,optimal,1.0,0,True,True,0.7411691662868802,1.0,0.014499187469482422,0.5000723278410484,1.0,1
2,armin,0.5,100,True,True,0.9169553959758641,1.2371742345538201,0.13476109504699707,0.5293301477417147,1.0,1
2,armin,0.55,100,True,True,0.9618435468615993,1.2977382095915522,0.08934903144836426,0.5353412475658503,1.0,1
2,armin,0.6,100,True,True,0.9169553959758641,1.2371742345538201,0.08352994918823242,0.5293301477417147,1.0,1
2,armin,0.65,100,True,True,0.9863340723332872,1.3307813076934076,0.0610041618347168,0.5383430615060953,1.0,1
2,armin,0.7,100,True,True,1.0361393344594911,1.3979795458172615,0.08585715293884277,0.5468896475083895,1.0,1
2,armin,0.75,100,True,True,1.06898970492557,1.4423019110212179,0.06819009780883789,0.5524255750132061,1.0,1
2,armin,0.8,100,True,True,1.060629859931179,1.431022643919117,0.06854009628295898,0.5498795850017708,1.0,1
2,armin,0.85,100,True,True,1.1310342964357138,1.526013692801045,0.06048297882080078,0.5609240881612654,1.0,1
2,armin,0.9,100,True,True,1.1727734542311852,1.5823289844969701,0.0649571418762207,0.5668618627061488,1.0,1
0,optimal,1.0,0,True,True,2.7752938933031954,1.0,0.023508071899414062,0.5002660396727839,1.0,1
2,armin,0.5,100,True,False,2.6426080459202392,0.9521903436233805,0.09011983871459961,0.4876113835396345,1.0,1
2,armin,0.55,100,True,False,2.6426080459202392,0.9521903436233805,0.1105508804321289,0.4876113835396345,1.0,1
2,armin,0.6,100,True,False,2.6426080459202392,0.9521903436233805,0.14448904991149902,0.4876113835396345,1.0,1
2,armin,0.65,100,True,False,2.6721822339992594,0.9628465801215701,0.11987686157226562,0.4906281553963554,1.0,1
2,armin,0.7,100,True,True,2.7752938933031954,1.0,0.09278512001037598,0.5002660396727839,1.0,1
2,armin,0.75,100,True,True,2.809579253575235,1.0123537764251815,0.12268185615539551,0.5032842026716111,1.0,1
2,armin,0.8,100,True,True,2.7752938933031954,1.0,0.12402486801147461,0.5002660396727839,1.0,1
2,armin,0.85,100,True,True,2.8901742661663494,1.0413939486338226,0.1010439395904541,0.514462484781399,1.0,1
2,armin,0.9,100,True,True,2.8901742661663494,1.0413939486338226,0.10152006149291992,0.514462484781399,1.0,1
0,optimal,1.0,0,True,True,0.9921364164616022,1.0,0.01872992515563965,0.5016280518534506,1.0,1
2,armin,0.5,100,True,False,0.9630927879990552,0.9707261743640764,0.04620003700256348,0.49971172352833604,0.6666666666666666,1
2,armin,0.55,100,True,True,0.9921364164616022,1.0,0.06352806091308594,0.5016280518534506,1.0,1
2,armin,0.6,100,True,True,0.9921364164616022,1.0,0.0632789134979248,0.5016280518534506,1.0,1
2,armin,0.65,100,True,True,0.9921364164616022,1.0,0.07653617858886719,0.5016280518534506,1.0,1
2,armin,0.7,100,True,True,1.0016193271207814,1.0095580713517194,0.07695198059082031,0.501937178207388,0.6666666666666666,1
2,armin,0.75,100,True,True,1.0016193271207814,1.0095580713517194,0.06600189208984375,0.501937178207388,0.6666666666666666,1
2,armin,0.8,100,True,True,1.026899035482654,1.0350381443965444,0.06616878509521484,0.5055123228372789,1.0,1
