n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,1.753278230608204,1.0,0.006324052810668945,0.5012294694477979,1.0,1
1,mean,1.0,False,False,1.8037379540903333,1.0287802144583893,0.0031681060791015625,0.5733666666321664,1.0,1
1,knn,1.0,False,False,1.8037379540903333,1.0287802144583893,0.030647993087768555,0.5801298278368179,1.0,1
1,mice,1.0,False,False,1.8037379540903333,1.0287802144583893,0.005454063415527344,0.5801298278368179,1.0,1
1,robust,1.0,False,False,42.99764287430066,24.524141190862206,0.061136484146118164,0.8605812678317459,0.5,1
1,armin,0.75,True,True,42.94718315081853,24.495360976403816,7.270509243011475,0.8197790264071407,0.5,1
2,mean,1.0,True,False,0.0,0.0,9.822845458984375e-05,0.2828422179060781,0.0,0
2,knn,1.0,True,False,0.0,0.0,0.00019502639770507812,0.2828422179060781,0.0,0
2,mice,1.0,True,False,0.0,0.0,0.00018596649169921875,0.2828422179060781,0.0,0
2,robust,1.0,True,True,2.7901663014985045,1.5913996151829302,0.4435110092163086,0.5706896919397002,1.0,0
2,armin,0.75,True,True,2.7901663014985045,1.5913996151829302,1.2984771728515625,0.5706896919397002,1.0,0
3,mean,1.0,True,True,1.753278230608204,1.0,0.003049135208129883,0.5012294694477979,1.0,1
3,knn,1.0,True,True,1.753278230608204,1.0,0.015491008758544922,0.5012294694477979,1.0,1
3,mice,1.0,True,True,2.7901663014985045,1.5913996151829302,0.00892496109008789,0.5706896919397002,1.0,1
3,robust,1.0,True,True,21.77292197660273,12.418406614818805,0.058028459548950195,0.746295972035823,0.6666666666666666,1
3,armin,0.75,True,True,21.131782949411768,12.052726475752369,5.427824974060059,0.7406731658873251,0.5,1
0,optimal,1.0,True,True,1.5349790129568235,1.0,0.008249998092651367,0.6347858620333221,1.0,1
1,mean,1.0,True,True,1.5349790129568235,1.0,0.010298013687133789,0.6347858620333221,1.0,1
1,knn,1.0,True,True,1.5349790129568235,1.0,0.020939111709594727,0.6347858620333221,1.0,1
1,mice,1.0,True,True,1.5349790129568235,1.0,0.007887840270996094,0.6347858620333221,1.0,1
1,robust,1.0,True,True,3.135816567338329,2.0429051738615103,0.060984134674072266,0.739167568221822,0.5,1
1,armin,0.75,True,True,1.5349790129568235,1.0,1.925144910812378,0.6347858620333221,1.0,1
2,mean,1.0,True,True,1.5349790129568235,1.0,0.011461019515991211,0.6347858620333221,1.0,1
2,knn,1.0,True,True,1.5349790129568235,1.0,0.04138779640197754,0.6347858620333221,1.0,1
2,mice,1.0,True,True,1.5349790129568235,1.0,0.011327981948852539,0.6347858620333221,1.0,1
2,robust,1.0,True,True,1.5349790129568235,1.0,0.024987220764160156,0.6347858620333221,1.0,1
2,armin,0.75,True,True,1.5349790129568235,1.0,2.1618854999542236,0.6347858620333221,1.0,1
