n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,complete,True,True,0.886118594774445,0.886118594774445,0.0461878776550293,0.7191206,1.0,1
1,incomplete,True,False,0.6612883416155799,0.7462752113715727,0.021914005279541016,0.26699585,0.5,1
2,incomplete,True,True,1.0547412846435937,1.1902935914713204,0.035154104232788086,0.84312415,0.6666666666666666,1
3,incomplete,True,False,0.7922179817456209,0.8940315511009834,0.040960073471069336,0.41384882,0.5,1
4,incomplete,True,False,0.23154859984811538,0.26130655785081947,0.024609088897705078,0.16268831,0.0,1
0,complete,True,True,0.08686978509821333,0.08686978509821333,0.02770519256591797,0.5135489,1.0,1
1,incomplete,True,True,0.08686978509821333,1.0,0.030428171157836914,0.5135489,1.0,1
2,incomplete,True,False,0.07218316675427079,0.8309352517985612,0.02421712875366211,0.47692007,0.0,1
3,incomplete,True,False,0.0,0.0,0.009299993515014648,0.40336967,0.0,0
4,incomplete,True,False,0.0,0.0,0.014310121536254883,0.40336967,0.0,0
0,complete,True,True,0.6612883416155799,0.6612883416155799,0.030743837356567383,0.6711276,1.0,1
1,incomplete,True,False,0.37036839132250843,0.5600709524345598,0.022211074829101562,0.4683144,0.0,1
2,incomplete,True,False,0.018123911998907817,0.02740697341590759,0.016295909881591797,0.3159942,0.0,1
3,incomplete,True,True,0.6612883416155799,1.0,0.02794480323791504,0.6711276,1.0,1
4,incomplete,True,False,0.3372453797382976,0.5099823458468666,0.00886988639831543,0.30747056,0.0,1
0,complete,True,True,0.6612883416155799,0.6612883416155799,0.024306058883666992,0.59874856,1.0,1
1,incomplete,True,True,0.6612883416155799,1.0,0.02377605438232422,0.59874856,1.0,1
2,incomplete,True,False,0.0,0.0,0.01332712173461914,0.15611434,0.0,0
3,incomplete,True,False,0.0,0.0,0.01221609115600586,0.15611434,0.0,0
4,incomplete,True,False,0.0,0.0,0.00867605209350586,0.15611434,0.0,0
0,complete,True,True,0.5135629201759482,0.5135629201759482,0.04523301124572754,0.53402865,1.0,1
1,incomplete,True,True,0.5135629201759482,1.0,0.03500699996948242,0.53402865,1.0,1
2,incomplete,True,True,0.5135629201759482,1.0,0.045423030853271484,0.53402865,1.0,1
3,incomplete,True,True,0.5135629201759482,1.0,0.02043294906616211,0.65125203,0.5,1
