n,n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_prob_init
0,0,optimal,1.0,True,True,4.33600364862449,1.0,0.0454409122467041,0.5004547354761584,1.0,0.00014777515271768848
0,1,armin,0.01,True,False,3.0093919133356954,0.6940473664708203,0.022375106811523438,0.4572465941160214,0.3333333333333333,0.00014777515271768848
0,1,armin,0.36,True,False,3.1337884384677976,0.7227365778305858,0.027755022048950195,0.4614230893048529,0.6666666666666666,0.00014777515271768848
0,1,armin,0.39,True,False,3.2233084999495576,0.7433823310946908,0.026757001876831055,0.46560500697234597,0.6666666666666666,0.00014777515271768848
0,1,armin,0.4,True,False,3.5226132306606006,0.8124101168083839,0.036062002182006836,0.47220269999650044,0.6666666666666666,0.00014777515271768848
0,1,armin,0.41,True,False,4.072174073454331,0.9391537469637846,0.03935599327087402,0.47943692826119,0.6666666666666666,0.00014777515271768848
0,1,armin,0.44,True,False,4.266570752642,0.9839868917074098,0.032763004302978516,0.48305746961799034,0.6666666666666666,0.00014777515271768848
0,1,armin,0.45,True,False,4.569126380915156,1.053764422537933,0.03415203094482422,0.49219256868000805,0.3333333333333333,0.00014777515271768848
0,1,armin,0.46,True,False,4.622841978016638,1.0661526955779066,0.046050071716308594,0.4958176889785497,0.3333333333333333,0.00014777515271768848
0,1,armin,0.49,True,True,4.802010471912158,1.107473807923455,0.054743051528930664,0.5676870534499837,0.3333333333333333,0.00014777515271768848
0,1,armin,0.63,True,True,4.9264069970442605,1.1361630192832204,0.03079390525817871,0.5718095447473901,0.6666666666666666,0.00014777515271768848
0,1,armin,0.66,True,True,5.015927058526021,1.1568087725473255,0.0284268856048584,0.5759220912835912,0.6666666666666666,0.00014777515271768848
0,1,armin,0.67,True,True,5.539205004897985,1.2774908542005463,0.03574991226196289,0.5926283026410242,0.3333333333333333,0.00014777515271768848
0,1,armin,0.69,True,True,5.566634251330395,1.283816782095259,0.03642916679382324,0.5961247691610092,0.3333333333333333,0.00014777515271768848
0,1,armin,0.7,True,True,5.594028198682821,1.2901345690650916,0.033186912536621094,0.5996115008409305,0.3333333333333333,0.00014777515271768848
0,1,armin,0.71,True,True,5.621451475609111,1.2964591202298466,0.027299880981445312,0.6030881731639083,0.3333333333333333,0.00014777515271768848
0,1,armin,0.72,True,True,5.676536236536797,1.3091631595691955,0.06697797775268555,0.6100100616756483,0.3333333333333333,0.00014777515271768848
0,1,armin,0.73,True,True,5.731889063982254,1.3219290223154172,0.041863203048706055,0.6168879200710422,0.3333333333333333,0.00014777515271768848
