n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,complete,True,True,2.418920017724539,2.418920017724539,0.4465830326080322,0.5097871,1.0,1
1,incomplete,True,False,1.1807316462487067,0.48812347559941754,0.33539414405822754,0.19834542,0.5,1
2,incomplete,True,True,4.7842076154168245,1.9778279481589864,0.5391349792480469,0.806052,0.5,1
3,incomplete,True,True,2.418920017724539,1.0,0.2851369380950928,0.5097871,1.0,1
4,incomplete,True,True,4.878376808280148,2.0167582113232507,0.24376893043518066,0.59200203,0.5,1
0,complete,True,True,0.5974418177122693,0.5974418177122693,0.35181188583374023,0.50926566,1.0,1
1,incomplete,True,False,0.5107225978396481,0.8548490960932608,0.08368706703186035,0.48297536,0.6666666666666666,1
2,incomplete,True,True,0.7864759288294787,1.3164058917754717,0.10982894897460938,0.62357974,1.0,1
3,incomplete,True,True,1.0078693969077401,1.6869749773577694,0.1542670726776123,0.66296256,1.0,1
4,incomplete,True,False,0.29800374724586,0.498799612633376,0.0387110710144043,0.32273054,0.0,1
0,complete,True,True,0.2535810656930201,0.2535810656930201,0.16948390007019043,0.50875515,1.0,1
1,incomplete,True,True,0.2535810656930201,1.0,0.07921886444091797,0.50875515,1.0,1
2,incomplete,True,False,0.11097325062399288,0.4376243562219853,0.06350994110107422,0.41825843,0.6666666666666666,1
3,incomplete,True,True,0.29005723540977324,1.1438442165114584,0.06097984313964844,0.54200816,1.0,1
4,incomplete,True,False,0.0,0.0,0.021179914474487305,0.20036101,0.0,0
0,complete,True,True,1.423700941560047,1.423700941560047,0.5489170551300049,0.5060841,1.0,1
1,incomplete,True,False,0.6145108749562764,0.43162918350177853,0.06995701789855957,0.28249192,0.5,1
2,incomplete,True,True,1.4954688010050163,1.0504093643193972,0.15871906280517578,0.5455348,0.6666666666666666,1
3,incomplete,True,False,0.0,0.0,0.019320011138916016,0.1414352,0.0,0
4,incomplete,True,True,1.423700941560047,1.0,0.07719922065734863,0.5060841,1.0,1
0,complete,True,True,0.7456358970017997,0.7456358970017997,0.1417090892791748,0.5007793,1.0,1
1,incomplete,True,False,0.2081454055901098,0.279151535524325,0.05268096923828125,0.34118712,0.3333333333333333,1
2,incomplete,True,False,0.2081454055901098,0.279151535524325,0.048892974853515625,0.34118712,0.3333333333333333,1
3,incomplete,True,False,0.0,0.0,0.024353981018066406,0.22880775,0.0,0
4,incomplete,True,True,0.9509615893215032,1.2753699133120036,0.07938790321350098,0.5499306,0.6666666666666666,1
0,complete,True,True,0.08671921987262127,0.08671921987262127,0.06811285018920898,0.50261575,1.0,1
1,incomplete,True,False,0.0,0.0,0.023231029510498047,0.47633553,0.0,0
2,incomplete,True,True,0.08671921987262127,1.0,0.0475010871887207,0.50261575,1.0,1
3,incomplete,True,False,0.15071506889249497,1.7379661523002041,0.10855603218078613,0.47633553,0.0,1
4,incomplete,True,False,0.0,0.0,0.02015209197998047,0.47633553,0.0,0
0,complete,True,True,1.325900858375101,1.325900858375101,0.22592520713806152,0.50326973,1.0,1
1,incomplete,True,False,0.0,0.0,0.022902965545654297,0.17455143,0.0,0
2,incomplete,True,False,0.0,0.0,0.024286985397338867,0.17455143,0.0,0
3,incomplete,True,True,2.072932668817895,1.5634145311273768,0.17030596733093262,0.69518816,0.5,1
4,incomplete,True,False,0.5770742606965651,0.4352318327961359,0.05812883377075195,0.2680422,0.5,1
0,complete,True,True,1.374133430729287,1.374133430729287,0.6420681476593018,0.5035516,1.0,1
1,incomplete,True,False,1.3023655712843176,0.9477722775386664,0.24526405334472656,0.4551248,0.6666666666666666,1
2,incomplete,True,True,1.9310078270317197,1.4052549656745383,0.20929503440856934,0.5742863,0.75,1
3,incomplete,True,True,1.6095203453567006,1.1712984411582854,0.43866991996765137,0.54865,0.75,1
4,incomplete,True,False,0.17779987150865564,0.1293905435473561,0.03475689888000488,0.16014785,0.3333333333333333,1
0,complete,True,True,2.0375058589070374,2.0375058589070374,0.9674179553985596,0.54131615,1.0,1
1,incomplete,True,True,2.2235939996938896,1.091331340213507,0.33946704864501953,0.5943154,0.75,1
2,incomplete,True,True,2.0375058589070374,1.0,0.2836320400238037,0.54131615,1.0,1
3,incomplete,True,False,0.9815173617568368,0.48172492730074606,0.30193209648132324,0.14630216,0.3333333333333333,1
4,incomplete,True,False,0.9815173617568368,0.48172492730074606,0.11844897270202637,0.14630216,0.3333333333333333,1
0,complete,True,True,1.2368059189917255,1.2368059189917255,0.5815119743347168,0.5028994,1.0,1
1,incomplete,True,True,1.2368059189917255,1.0,0.4808340072631836,0.5028994,1.0,1
2,incomplete,True,False,1.1717691938141295,0.9474155773521721,0.6643698215484619,0.4951914,0.75,1
3,incomplete,True,True,4.991424489717369,4.035737873721126,0.3760850429534912,0.81875145,0.5,1
4,incomplete,True,False,0.4105978082108157,0.3319824088047259,0.050131797790527344,0.21141428,0.6666666666666666,1
0,complete,True,True,2.287416447610318,2.287416447610318,0.527925968170166,0.5238432,1.0,1
1,incomplete,True,False,2.099501293859281,0.9178482982635918,0.8161230087280273,0.47767425,0.75,1
2,incomplete,True,True,4.210930185437271,1.84091103735678,0.4259929656982422,0.54009753,0.75,1
3,incomplete,True,False,1.0830748049976358,0.47349261920763597,0.12691688537597656,0.155613,0.25,1
4,incomplete,True,True,2.287416447610318,1.0,0.13785004615783691,0.5238432,1.0,1
0,complete,True,True,0.6695693787965795,0.6695693787965795,0.12846708297729492,0.50337434,1.0,1
1,incomplete,True,False,0.5004976068955026,0.7474917801573446,0.10874485969543457,0.47748476,0.3333333333333333,1
2,incomplete,True,False,0.0,0.0,0.021006107330322266,0.3623882,0.0,0
3,incomplete,True,True,1.6247694842833607,2.4265886937714614,0.25862908363342285,0.5619982,0.3333333333333333,1
4,incomplete,True,False,0.0,0.0,0.020671844482421875,0.3623882,0.0,0
0,complete,True,True,0.05544653196330161,0.05544653196330161,0.051010847091674805,0.5051919,1.0,1
1,incomplete,True,True,0.07459559974787226,1.34536096499678,0.04154396057128906,0.57054126,0.5,1
2,incomplete,True,True,0.7771062174161236,14.01541611169598,0.3450498580932617,0.7888752,0.3333333333333333,1
3,incomplete,True,False,0.040622032218724534,0.7326343195929915,0.04712104797363281,0.4203359,1.0,1
4,incomplete,True,False,0.02784042879964858,0.502113077479315,0.03104710578918457,0.4203359,1.0,1
0,complete,True,True,1.0929804368823297,1.0929804368823297,0.2084488868713379,0.50310946,1.0,1
1,incomplete,True,False,0.7916347823384257,0.7242899832649549,0.35074305534362793,0.41510367,0.5,1
2,incomplete,True,True,1.8187834067862454,1.6640585187180763,0.8341770172119141,0.5884537,0.5,1
3,incomplete,True,False,0.8635320227092378,0.7900708865132283,0.2192540168762207,0.46294838,0.75,1
4,incomplete,True,False,2.458101895145491,2.248989837509901,0.22466397285461426,0.4311852,0.25,1
0,complete,True,True,0.9159900990427086,0.9159900990427086,0.34706902503967285,0.5290196,1.0,1
1,incomplete,True,True,1.7113278044068854,1.868281989287194,0.7031919956207275,0.601689,0.75,1
2,incomplete,True,False,2.0218549411451354,2.207289077969461,0.7287569046020508,0.4826373,0.75,1
3,incomplete,True,False,0.6000936684349913,0.655131173428777,0.31645894050598145,0.38588583,1.0,1
4,incomplete,True,True,3.2043619672265256,3.4982495668625346,0.2998991012573242,0.6441782,0.75,1
0,complete,True,True,3.079611167729915,3.079611167729915,0.6641530990600586,0.50662225,1.0,1
1,incomplete,True,True,5.192544064352419,1.6861037908821515,0.4136669635772705,0.7132368,0.75,1
2,incomplete,True,False,0.9755900747185174,0.31679001717533634,0.15035390853881836,0.085986376,0.25,1
3,incomplete,True,True,4.392522353914293,1.4263236865555884,1.9413352012634277,0.6597085,0.75,1
4,incomplete,True,False,1.8205070291545988,0.5911483398394596,0.21563196182250977,0.1534499,0.5,1
0,complete,True,True,1.023737551889539,1.023737551889539,0.32181811332702637,0.5013838,1.0,1
1,incomplete,True,True,2.1493469541795953,2.099509732951077,0.8039960861206055,0.6524731,0.5,1
