n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,complete,True,True,0.7237649238858428,0.7237649238858428,0.0077588558197021484,0.5382613,1.0,1
1,incomplete,True,True,2.0727464428390334,2.863839313613879,0.008337020874023438,0.7504182,0.5,1
2,incomplete,True,False,0.0,0.0,0.005290031433105469,0.426139,0.0,0
3,incomplete,True,False,0.0,0.0,0.005577802658081055,0.426139,0.0,0
4,incomplete,True,True,1.3489815189531904,1.8638393136138787,0.006721019744873047,0.6167867,0.0,1
0,complete,True,True,0.6299927104216692,0.6299927104216692,0.0052449703216552734,0.58347714,1.0,1
1,incomplete,True,True,0.6299927104216692,1.0,0.004348039627075195,0.58347714,1.0,1
2,incomplete,True,False,0.0,0.0,0.004776954650878906,0.43255782,0.0,0
3,incomplete,True,False,0.0,0.0,0.004069089889526367,0.43255782,0.0,0
4,incomplete,True,True,0.6299927104216692,1.0,0.005144834518432617,0.58347714,1.0,1
0,complete,True,True,1.208350194330198,1.208350194330198,0.0063838958740234375,0.5124984,1.0,1
1,incomplete,True,True,1.208350194330198,1.0,0.006601095199584961,0.5124984,1.0,1
2,incomplete,True,False,0.48458527044435523,0.40103048993422497,0.004656791687011719,0.43474394,0.5,1
3,incomplete,True,True,1.8335667893975456,1.5174134104508603,0.004536151885986328,0.65991575,0.5,1
4,incomplete,True,False,0.0,0.0,0.0037980079650878906,0.19035763,0.0,0
0,complete,True,True,1.1145779808660243,1.1145779808660243,0.008620977401733398,0.54595006,1.0,1
1,incomplete,True,True,1.1145779808660243,1.0,0.0073888301849365234,0.54595006,1.0,1
2,incomplete,True,True,1.1145779808660243,1.0,0.008272886276245117,0.54595006,1.0,1
3,incomplete,True,False,0.0,0.0,0.0044519901275634766,0.37035257,0.0,0
4,incomplete,True,False,0.0,0.0,0.0033140182495117188,0.37035257,0.0,0
0,complete,True,True,1.8175050651223759,1.8175050651223759,0.007361888885498047,0.50344825,1.0,1
1,incomplete,True,True,1.8175050651223759,1.0,0.006574869155883789,0.50344825,1.0,1
2,incomplete,True,True,1.8175050651223759,1.0,0.006845951080322266,0.50344825,1.0,1
3,incomplete,True,True,1.8175050651223759,1.0,0.004849910736083984,0.50344825,1.0,1
4,incomplete,True,False,1.7890687403426195,0.9843541977816488,0.00577092170715332,0.46397316,0.6666666666666666,1
0,complete,True,True,0.6299927104216692,0.6299927104216692,0.006967067718505859,0.6501597,1.0,1
1,incomplete,True,True,0.6299927104216692,1.0,0.007151126861572266,0.6501597,1.0,1
2,incomplete,True,False,0.0,0.0,0.004945039749145508,0.4813127,0.0,0
3,incomplete,True,True,0.6299927104216692,1.0,0.006716012954711914,0.6501597,1.0,1
4,incomplete,True,True,2.4635594998192145,3.910457151433221,0.005742073059082031,0.60208905,0.3333333333333333,1
0,complete,True,True,0.7237649238858428,0.7237649238858428,0.005087137222290039,0.52278686,1.0,1
1,incomplete,True,True,1.3489815189531904,1.8638393136138787,0.007127046585083008,0.6260711,0.0,1
2,incomplete,True,True,0.7237649238858428,1.0,0.005619049072265625,0.52278686,1.0,1
3,incomplete,True,False,0.0,0.0,0.003787994384765625,0.4855517,0.0,0
4,incomplete,True,False,0.0,0.0,0.004625082015991211,0.4855517,0.0,0
0,complete,True,True,2.7472372023156284,2.7472372023156284,0.00810098648071289,0.5042919,1.0,1
1,incomplete,True,True,2.812962670329668,1.02392420572881,0.008107900619506836,0.5396205,0.6666666666666666,1
2,incomplete,True,False,2.0727464428390334,0.7544839743331697,0.006845951080322266,0.46168995,0.6666666666666666,1
3,incomplete,True,False,1.9789742293748596,0.7203506954939294,0.008617877960205078,0.3393923,0.0,1
4,incomplete,True,False,4.509384620843992,1.641425289757674,0.005350828170776367,0.30257195,0.6666666666666666,1
0,complete,True,True,0.6299927104216692,0.6299927104216692,0.007815122604370117,0.6203313,1.0,1
1,incomplete,True,True,0.6744907594765952,1.0706326411699945,0.0043790340423583984,0.53776634,0.0,1
2,incomplete,True,False,0.0,0.0,0.0013620853424072266,0.4734769,0.0,1
3,incomplete,True,False,0.0,0.0,0.005321979522705078,0.4734769,0.0,0
4,incomplete,True,False,0.0,0.0,0.0034940242767333984,0.4734769,0.0,0
0,complete,True,True,0.6299927104216692,0.6299927104216692,0.00611114501953125,0.521284,1.0,1
1,incomplete,True,True,0.6299927104216692,1.0,0.006518840789794922,0.521284,1.0,1
2,incomplete,True,False,0.0,0.0,0.004469871520996094,0.36869055,0.0,0
3,incomplete,True,True,6.025918786234431,9.565061129359957,0.001580953598022461,0.9436448,0.25,1
4,incomplete,True,True,0.6299927104216692,1.0,0.005675792694091797,0.521284,1.0,1
0,complete,True,True,8.093889113719143,8.093889113719143,0.001967906951904297,0.50274026,1.0,1
1,incomplete,True,False,0.0,0.0,0.0015828609466552734,0.110550165,0.0,1
2,incomplete,True,False,0.0,0.0,0.0016980171203613281,0.110550165,0.0,1
3,incomplete,True,False,0.0,0.0,0.0013589859008789062,0.110550165,0.0,1
4,incomplete,True,False,5.351428026757835,0.6611689327059305,0.0027658939361572266,0.34164596,0.5,1
0,complete,True,True,3.26025879753974,3.26025879753974,0.006965160369873047,0.52612305,1.0,1
1,incomplete,True,False,3.8570390678273316,1.1830469012883071,0.006145000457763672,0.39743876,0.25,1
2,incomplete,True,True,3.906313232236579,1.198160475844545,0.0065479278564453125,0.5781319,0.5,1
3,incomplete,True,True,4.770709480745413,1.4632916516766985,0.003103017807006836,0.60988367,0.25,1
4,incomplete,True,False,3.8854753926070877,1.1917690078895422,0.003350973129272461,0.49193543,0.5,1
0,complete,True,True,0.48458527044435523,0.48458527044435523,0.007211208343505859,0.5259737,1.0,1
1,incomplete,True,True,1.1145779808660243,2.300065744557151,0.008690118789672852,0.6372641,0.5,1
2,incomplete,True,False,0.0,0.0,0.006405830383300781,0.48912603,0.0,0
3,incomplete,True,False,0.0,0.0,0.0011219978332519531,0.48912603,0.0,1
4,incomplete,True,False,0.0,0.0,0.004650115966796875,0.48912603,0.0,0
0,complete,True,True,0.48458527044435523,0.48458527044435523,0.0051991939544677734,0.599893,1.0,1
1,incomplete,True,True,0.48458527044435523,1.0,0.006000995635986328,0.599893,1.0,1
2,incomplete,True,True,1.053010513718195,2.1730138696799535,0.004617929458618164,0.667791,0.5,1
3,incomplete,True,True,2.4019920326713855,4.95679951325967,0.0069539546966552734,0.78381294,0.3333333333333333,1
4,incomplete,True,False,0.0,0.0,0.002363920211791992,0.48543203,0.0,0
0,complete,True,True,0.6299927104216692,0.6299927104216692,0.005195140838623047,0.56119645,1.0,1
1,incomplete,True,True,1.3489815189531904,2.141265282339989,0.006698131561279297,0.63247836,0.0,1
2,incomplete,True,False,0.0,0.0,0.004200935363769531,0.47886932,0.0,0
3,incomplete,True,False,0.0,0.0,0.0034170150756835938,0.47886932,0.0,0
4,incomplete,True,True,0.6299927104216692,1.0,0.0046579837799072266,0.56119645,1.0,1
0,complete,True,True,2.0727464428390334,2.0727464428390334,0.006825923919677734,0.5144111,1.0,1
1,incomplete,True,False,1.3489815189531904,0.6508183977898885,0.005975961685180664,0.45189536,0.5,1
2,incomplete,True,True,4.046944556859572,1.9524551933696657,0.002691984176635742,0.6618881,0.0,1
3,incomplete,True,False,2.023472278429786,0.9762275966848328,0.004030942916870117,0.45189536,0.5,1
4,incomplete,True,True,2.0727464428390334,1.0,0.005970954895019531,0.5261164,0.5,1
0,complete,True,True,0.5684252432738398,0.5684252432738398,0.008652925491333008,0.7230977,1.0,1
1,incomplete,True,True,0.5684252432738398,1.0,0.005663871765136719,0.7230977,1.0,1
2,incomplete,True,False,0.0,0.0,0.001355886459350586,0.49412894,0.0,1
3,incomplete,True,True,0.5684252432738398,1.0,0.005913972854614258,0.7230977,1.0,1
4,incomplete,True,True,0.7237649238858428,1.2732807567048317,0.0051691532135009766,0.7172054,0.0,1
0,complete,True,True,2.697963037906381,2.697963037906381,0.0057489871978759766,0.7865321,1.0,1
1,incomplete,True,True,3.182548308350736,1.1796115304902004,0.006718873977661133,0.8975517,0.5,1
2,incomplete,True,False,0.48458527044435523,0.17961153049020026,0.007730960845947266,0.29675782,0.0,1
3,incomplete,True,False,0.0,0.0,0.0011630058288574219,0.19887221,0.0,1
4,incomplete,True,True,2.697963037906381,1.0,0.0074350833892822266,0.7865321,1.0,1
0,complete,True,True,0.48458527044435523,0.48458527044435523,0.005172014236450195,0.5406704,1.0,1
1,incomplete,True,True,0.48458527044435523,1.0,0.0059490203857421875,0.5406704,1.0,1
2,incomplete,True,True,0.48458527044435523,1.0,0.005090951919555664,0.5406704,1.0,1
3,incomplete,True,True,0.48458527044435523,1.0,0.006350994110107422,0.5406704,1.0,1
4,incomplete,True,False,0.0,0.0,0.0017108917236328125,0.24588573,0.0,1
