n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,0.3959899698732192,1.0,0.20296001434326172,0.5048687884909911,1.0,1
1,mean,1.0,True,True,0.3959899698732192,1.0,0.2073218822479248,0.5048687884909911,1.0,1
1,knn,1.0,True,True,0.3959899698732192,1.0,0.2039940357208252,0.5048687884909911,1.0,1
1,mice,1.0,True,True,0.3959899698732192,1.0,0.17505502700805664,0.5048687884909911,1.0,1
1,robust,1.0,True,True,0.3959899698732192,1.0,0.28377580642700195,0.5048687884909911,1.0,1
1,armin,0.75,True,True,0.8348450657120415,2.1082480093607594,180.03420495986938,0.501672407220256,0.0,1
2,mean,1.0,True,True,0.7610367771365087,1.92185872127055,0.6056280136108398,0.5345459233383109,0.5,1
2,knn,1.0,True,True,0.7610367771365087,1.92185872127055,0.6772270202636719,0.5345459233383109,0.5,1
2,mice,1.0,True,True,0.4458603811477395,1.125938571854451,0.21724200248718262,0.5103785164126817,0.6666666666666666,1
2,robust,1.0,True,True,0.833635176241734,2.1051926555327447,0.5425565242767334,0.5487174392218473,0.5,1
2,armin,0.75,True,True,1.4299531278044801,3.611084210699317,180.02564406394958,0.5180737395160206,0.25,1
3,mean,1.0,True,True,0.3959899698732192,1.0,0.18825197219848633,0.5048687884909911,1.0,1
3,knn,1.0,True,True,0.3959899698732192,1.0,0.25116991996765137,0.5048687884909911,1.0,1
3,mice,1.0,True,True,0.3959899698732192,1.0,0.1753687858581543,0.5048687884909911,1.0,1
3,robust,1.0,True,True,0.999715628301148,2.524598359451424,0.7388818264007568,0.610375349472897,0.6666666666666666,1
3,armin,0.75,True,True,0.7825082790163044,1.9760810589895332,180.02493810653687,0.5514338306857859,0.5,1
0,optimal,1.0,True,True,0.7694018362124938,1.0,0.08103704452514648,0.5014050831808174,1.0,1
1,mean,1.0,True,True,0.7694018362124938,1.0,0.08915305137634277,0.5014050831808174,1.0,1
1,knn,1.0,True,True,0.7694018362124938,1.0,0.08200883865356445,0.5014050831808174,1.0,1
