n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,1.5482404845040207,1.0,0.009041070938110352,0.5000280875369112,1.0,1
1,mean,1.0,True,True,2.06693078268561,1.3350192062363953,0.009203910827636719,0.5659051665841666,0.6666666666666666,1
1,knn,1.0,True,True,2.06693078268561,1.3350192062363953,0.018470048904418945,0.5659051665841666,0.6666666666666666,1
1,mice,1.0,True,True,2.06693078268561,1.3350192062363953,0.008172035217285156,0.5659051665841666,0.6666666666666666,1
1,robust,1.0,True,True,3.777671154586007,2.4399769883269684,0.0566561222076416,0.7314638804366922,0.6666666666666666,1
1,armin,0.75,True,True,2.691916106014413,1.7386937836577558,0.05085015296936035,0.6244672116513035,0.6666666666666666,1
2,mean,1.0,True,True,1.802002927412134,1.163903763948794,0.006865024566650391,0.5345827793620919,0.6666666666666666,1
2,knn,1.0,True,True,1.802002927412134,1.163903763948794,0.03351092338562012,0.5345827793620919,0.6666666666666666,1
2,mice,1.0,True,True,1.802002927412134,1.163903763948794,0.0068988800048828125,0.5345827793620919,0.6666666666666666,1
2,robust,1.0,True,True,3.3401989159324676,2.1574160793260106,0.05278944969177246,0.6946561478166277,0.6666666666666666,1
2,armin,0.75,True,True,2.5541924045195628,1.6497388035540221,0.047348976135253906,0.6131179282981778,0.5,1
3,mean,1.0,True,True,1.802002927412134,1.163903763948794,0.007235050201416016,0.5345827793620919,0.6666666666666666,1
3,knn,1.0,True,True,1.802002927412134,1.163903763948794,0.03525090217590332,0.5345827793620919,0.6666666666666666,1
3,mice,1.0,True,True,1.802002927412134,1.163903763948794,0.006829023361206055,0.5345827793620919,0.6666666666666666,1
3,robust,1.0,True,True,3.3401989159324676,2.1574160793260106,0.05158066749572754,0.6946561478166277,0.6666666666666666,1
3,armin,0.75,True,True,2.5541924045195628,1.6497388035540221,0.047328948974609375,0.6131179282981778,0.5,1
0,optimal,1.0,True,True,1.6497290148167663,1.0,0.008116006851196289,0.5006628021368518,1.0,1
1,mean,1.0,True,True,1.6497290148167663,1.0,0.00857090950012207,0.5006628021368518,1.0,1
1,knn,1.0,True,True,1.6497290148167663,1.0,0.03543400764465332,0.5006628021368518,1.0,1
1,mice,1.0,True,True,1.6497290148167663,1.0,0.007983922958374023,0.5006628021368518,1.0,1
1,robust,1.0,True,True,1.9145328391328718,1.1605135279417493,0.08239483833312988,0.5349156761263073,0.75,1
1,armin,0.75,True,True,1.6497290148167663,1.0,0.0431210994720459,0.5006628021368518,1.0,1
2,mean,1.0,True,False,0.8593503674644237,0.5209039543745134,0.004312038421630859,0.42170008555999394,0.6666666666666666,1
2,knn,1.0,True,True,1.6497290148167663,1.0,0.03405499458312988,0.5006628021368518,1.0,1
2,mice,1.0,True,False,0.8593503674644237,0.5209039543745134,0.0038390159606933594,0.42170008555999394,0.6666666666666666,1
2,robust,1.0,True,True,3.852288599616628,2.3351038655548515,0.04706931114196777,0.7266167022824972,0.75,1
2,armin,0.75,True,True,1.6497290148167663,1.0,0.04860711097717285,0.5006628021368518,1.0,1
3,mean,1.0,True,False,0.18814970125774452,0.11404885261028286,0.004757881164550781,0.33007366643658775,0.6666666666666666,1
3,knn,1.0,True,False,0.7379446072258414,0.44731261958668056,0.035257816314697266,0.40634306034074397,0.6666666666666666,1
3,mice,1.0,True,False,0.18814970125774452,0.11404885261028286,0.004040956497192383,0.33007366643658775,0.6666666666666666,1
3,robust,1.0,True,True,3.196676820897575,1.937698126290533,0.05068826675415039,0.669987883961392,0.6666666666666666,1
3,armin,0.75,True,False,0.8593503674644237,0.5209039543745134,0.030351877212524414,0.42170008555999394,0.6666666666666666,1
0,optimal,1.0,True,True,0.8900195954459146,1.0,0.006094932556152344,0.5089350753992679,1.0,1
1,mean,1.0,True,True,1.18726922398339,1.3339809932932414,0.005713939666748047,0.5537485385755023,0.75,1
1,knn,1.0,True,True,1.3730521154466409,1.542721219254413,0.03786110877990723,0.5745100584764173,0.75,1
1,mice,1.0,True,True,1.18726922398339,1.3339809932932414,0.005988121032714844,0.5537485385755023,0.75,1
1,robust,1.0,True,True,2.8359776851728427,3.1864216245171217,0.04668903350830078,0.7225496940479246,0.75,1
1,armin,0.75,True,True,1.6899190690062822,1.8987436654803143,0.04194998741149902,0.602424518509654,1.0,1
2,mean,1.0,True,False,0.08705968887242502,0.09781772145006164,0.003142118453979492,0.3571020914261781,0.3333333333333333,1
2,knn,1.0,True,False,0.0,0.0,0.00019502639770507812,0.3401603594072674,0.0,0
