n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,13.119317492839725,1.0,0.021652936935424805,0.5261930218255028,1.0,1
2,armin,0.75,100,True,False,0.0,0.0,0.024214982986450195,0.053517095701764994,0.0,1
2,armin,0.75,200,True,False,0.0,0.0,0.0420680046081543,0.053517095701764994,0.0,1
2,armin,0.75,300,True,False,0.0,0.0,0.05646085739135742,0.053517095701764994,0.0,1
2,armin,0.75,400,True,False,0.0,0.0,0.07592296600341797,0.053517095701764994,0.0,1
2,armin,0.75,500,True,False,0.0,0.0,0.09059500694274902,0.053517095701764994,0.0,1
0,optimal,1.0,0,True,True,3.2482902799681774,1.0,0.002466917037963867,0.5182418658757245,1.0,1
2,armin,0.75,100,True,True,3.3269894579222026,1.0242278771818374,0.03390789031982422,0.5681962975720609,0.6666666666666666,1
2,armin,0.75,200,True,True,3.3269894579222026,1.0242278771818374,0.06012701988220215,0.5681962975720609,0.6666666666666666,1
2,armin,0.75,300,True,True,3.3269894579222026,1.0242278771818374,0.07503986358642578,0.5681962975720609,0.6666666666666666,1
2,armin,0.75,400,True,True,3.3269894579222026,1.0242278771818374,0.10886096954345703,0.5681962975720609,0.6666666666666666,1
2,armin,0.75,500,True,True,3.3269894579222026,1.0242278771818374,0.12052607536315918,0.5681962975720609,0.6666666666666666,1
0,optimal,1.0,0,True,True,3.248986223565902,1.0,0.002846956253051758,0.5457066728398037,1.0,1
2,armin,0.75,100,True,True,3.248986223565902,1.0,0.02276015281677246,0.5457066728398037,1.0,1
2,armin,0.75,200,True,True,3.248986223565902,1.0,0.0371098518371582,0.5457066728398037,1.0,1
2,armin,0.75,300,True,True,3.248986223565902,1.0,0.04719996452331543,0.5457066728398037,1.0,1
2,armin,0.75,400,True,True,3.248986223565902,1.0,0.05463409423828125,0.5457066728398037,1.0,1
2,armin,0.75,500,True,True,3.248986223565902,1.0,0.0679481029510498,0.5457066728398037,1.0,1
0,optimal,1.0,0,True,True,1.671120327061183,1.0,0.0017368793487548828,0.5086005282365882,1.0,1
2,armin,0.75,100,True,True,1.8886258038528154,1.1301554850775681,0.022114038467407227,0.5290669980287865,0.5,1
2,armin,0.75,200,True,True,1.8886258038528154,1.1301554850775681,0.03497195243835449,0.5290669980287865,0.5,1
2,armin,0.75,300,True,True,1.8886258038528154,1.1301554850775681,0.04822397232055664,0.5290669980287865,0.5,1
2,armin,0.75,400,True,True,1.8886258038528154,1.1301554850775681,0.06263589859008789,0.5290669980287865,0.5,1
2,armin,0.75,500,True,True,1.8886258038528154,1.1301554850775681,0.07202911376953125,0.5290669980287865,0.5,1
0,optimal,1.0,0,True,True,4.7607921300806275,1.0,0.0020551681518554688,0.5103957238298371,1.0,1
