n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,1.753278230608204,1.0,0.0036270618438720703,0.5012294694477979,1.0,1
1,mean,1.0,False,False,1.8037379540903333,1.0287802144583893,0.003103971481323242,0.5733666666321664,1.0,1
1,knn,1.0,False,False,1.8037379540903333,1.0287802144583893,0.03168487548828125,0.5801298278368179,1.0,1
1,mice,1.0,False,False,1.8037379540903333,1.0287802144583893,0.005446910858154297,0.5801298278368179,1.0,1
1,robust,1.0,False,False,42.99764287430066,24.524141190862206,0.060338497161865234,0.8605812678317459,0.5,1
1,armin,0.75,True,True,41.454979191771926,23.64426733194046,180.06931591033936,0.7362092398695652,0.25,1
2,mean,1.0,True,True,2.7901663014985045,1.5913996151829302,0.00577998161315918,0.5706896919397002,1.0,1
2,knn,1.0,True,True,2.7901663014985045,1.5913996151829302,0.029301881790161133,0.5706896919397002,1.0,1
2,mice,1.0,True,True,1.753278230608204,1.0,0.0028672218322753906,0.5012294694477979,1.0,1
2,robust,1.0,True,True,2.7901663014985045,1.5913996151829302,0.022003173828125,0.5706896919397002,1.0,1
2,armin,0.75,True,True,2.7901663014985045,1.5913996151829302,16.301505088806152,0.5706896919397002,1.0,1
3,mean,1.0,True,True,3.2882572435650275,1.8754908297836712,0.008756160736083984,0.6353977285471328,1.0,1
3,knn,1.0,True,True,3.2882572435650275,1.8754908297836712,0.03323197364807129,0.6353977285471328,1.0,1
3,mice,1.0,True,True,3.2882572435650275,1.8754908297836712,0.007971048355102539,0.6353977285471328,1.0,1
3,robust,1.0,True,True,21.77292197660273,12.418406614818805,0.186631441116333,0.746295972035823,0.6666666666666666,1
3,armin,0.75,True,True,5.0586233305739015,2.8852370617863023,35.53452706336975,0.7081507486160008,0.6666666666666666,1
0,optimal,1.0,True,True,1.5349790129568235,1.0,0.009134054183959961,0.6347858620333221,1.0,1
1,mean,1.0,True,True,1.5349790129568235,1.0,0.008738994598388672,0.6347858620333221,1.0,1
1,knn,1.0,True,True,1.5349790129568235,1.0,0.03943204879760742,0.6347858620333221,1.0,1
