n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,complete,True,True,2.802802362477199,2.802802362477199,0.18887019157409668,0.5207365,1.0,1
1,incomplete,True,False,1.433292863887765,0.5113784985613393,0.34372591972351074,0.19834542,0.3333333333333333,1
2,incomplete,True,True,4.806402630544831,1.714856065090794,0.39639711380004883,0.77234465,0.75,1
3,incomplete,True,True,2.802802362477199,1.0,0.16959786415100098,0.5207365,1.0,1
4,incomplete,True,True,5.890883265487498,2.10178332384484,0.10389995574951172,0.6395879,0.5,1
0,complete,True,True,0.7588021044111696,0.7588021044111696,0.4685099124908447,0.564091,1.0,1
1,incomplete,True,False,0.698579715172188,0.9206349206349208,0.2276160717010498,0.47708,0.5,1
2,incomplete,True,True,0.9310905049296476,1.2270531400966183,0.09214091300964355,0.52753866,0.5,1
3,incomplete,True,True,1.3086587018105678,1.7246376811594202,0.10908102989196777,0.63794136,0.3333333333333333,1
4,incomplete,True,False,0.5891875163663199,0.7764705882352941,0.05120396614074707,0.3378234,0.0,1
0,complete,True,True,0.5548838577184785,0.5548838577184785,0.39610791206359863,0.5032694,1.0,1
1,incomplete,True,True,0.5548838577184785,1.0,0.161376953125,0.5032694,1.0,1
2,incomplete,True,False,0.3799219689820684,0.6846873696131608,0.08602094650268555,0.39135832,0.6666666666666666,1
3,incomplete,True,True,0.584209542913113,1.0528501321253303,0.07065892219543457,0.5365554,1.0,1
4,incomplete,True,False,0.0,0.0,0.0212252140045166,0.20036101,0.0,0
0,complete,True,True,1.8158001235383077,1.8158001235383077,1.0028181076049805,0.5218519,1.0,1
1,incomplete,True,False,0.6523035634411809,0.3592375366568915,0.11505699157714844,0.2867161,0.6666666666666666,1
2,incomplete,True,False,1.3509880132033496,0.7440180203153555,0.2128129005432129,0.3531537,0.75,1
3,incomplete,True,False,0.0,0.0,0.018736839294433594,0.1414352,0.0,0
4,incomplete,True,True,1.8158001235383077,1.0,0.24070405960083008,0.5218519,1.0,1
0,complete,True,True,0.9066524339341189,0.9066524339341189,0.4162459373474121,0.5007793,1.0,1
1,incomplete,True,False,0.3372453797382976,0.37196765498652296,0.0953071117401123,0.34118712,0.3333333333333333,1
2,incomplete,True,False,0.1759541111678074,0.19407008086253366,0.05339193344116211,0.28161657,0.3333333333333333,1
3,incomplete,True,False,0.0,0.0,0.02411198616027832,0.22880775,0.0,0
4,incomplete,True,True,1.052792098487381,1.1611859838274932,0.1890730857849121,0.5499306,0.6666666666666666,1
0,complete,True,True,0.0879770555839037,0.0879770555839037,0.08278012275695801,0.50261575,1.0,1
1,incomplete,True,False,0.0,0.0,0.02299213409423828,0.47633553,0.0,0
2,incomplete,True,True,0.0879770555839037,1.0,0.047106027603149414,0.50261575,1.0,1
3,incomplete,True,True,0.5901794145420208,6.708333333333335,0.2880070209503174,0.6662631,0.0,1
4,incomplete,True,False,0.0,0.0,0.018113136291503906,0.47633553,0.0,0
0,complete,True,True,1.9391609334952111,1.9391609334952111,0.1599280834197998,0.516769,1.0,1
1,incomplete,True,False,0.0,0.0,0.02226996421813965,0.17455143,0.0,0
2,incomplete,True,False,0.0,0.0,0.024113893508911133,0.17455143,0.0,0
3,incomplete,True,True,3.0352084176446783,1.565217391304348,0.31130003929138184,0.6812093,0.6666666666666666,1
4,incomplete,True,False,1.2646701740186161,0.6521739130434784,0.1212611198425293,0.20937032,0.0,1
0,complete,True,True,2.0574411971135707,2.0574411971135707,0.7568740844726562,0.50185883,1.0,1
1,incomplete,True,False,1.68353871088198,0.8182682028744507,0.391528844833374,0.4655757,1.0,1
2,incomplete,True,True,2.4846186781154143,1.2076256087421309,0.5113348960876465,0.55586743,1.0,1
3,incomplete,True,True,2.0574411971135707,1.0,0.33878302574157715,0.50185883,1.0,1
4,incomplete,True,False,0.1686226898691488,0.08195747713505167,0.04102897644042969,0.16014785,0.25,1
0,complete,True,True,2.8979436315055813,2.8979436315055813,1.643043041229248,0.5062152,1.0,1
1,incomplete,True,True,3.865614070072747,1.3339162391038046,0.4121878147125244,0.57124275,0.5,1
2,incomplete,True,True,3.7490573335667037,1.2936957409412893,0.32262182235717773,0.5571455,0.25,1
3,incomplete,True,False,1.011736139214893,0.3491220906492447,0.08964395523071289,0.14630216,0.25,1
4,incomplete,True,False,1.011736139214893,0.3491220906492447,0.12888693809509277,0.14630216,0.25,1
0,complete,True,True,2.2820270695624805,2.2820270695624805,0.5293920040130615,0.5028994,1.0,1
1,incomplete,True,True,2.2820270695624805,1.0,0.5217711925506592,0.5028994,1.0,1
2,incomplete,True,False,2.081285772099208,0.9120337790288529,1.0212888717651367,0.4845891,0.5,1
3,incomplete,True,False,3.7978302541610316,1.6642354093061513,0.38537096977233887,0.4082929,0.25,1
4,incomplete,True,False,0.6744907594765952,0.29556650246305416,0.04788494110107422,0.2192353,0.3333333333333333,1
0,complete,True,True,2.8893645823718885,2.8893645823718885,0.8019509315490723,0.518414,1.0,1
1,incomplete,True,False,2.3506980490599165,0.8135692059775375,0.5274109840393066,0.4008299,0.75,1
2,incomplete,True,True,3.7526341981551825,1.2987749005612277,0.29201602935791016,0.5424185,0.5,1
3,incomplete,True,False,1.0561105312857213,0.36551653527183364,0.07678103446960449,0.15714532,0.5,1
4,incomplete,True,False,2.933738974442717,1.0153578376164636,0.3820688724517822,0.4354778,1.0,1
0,complete,True,True,0.8064563428524507,0.8064563428524507,0.1404581069946289,0.54089653,1.0,1
1,incomplete,True,False,0.5757095040841418,0.7138755980861243,0.09443402290344238,0.47120225,0.5,1
2,incomplete,True,False,0.0,0.0,0.02081608772277832,0.3623882,0.0,0
3,incomplete,True,True,1.9037257305516941,2.3606060606060604,0.14551186561584473,0.6474376,0.5,1
4,incomplete,True,False,0.0,0.0,0.020470857620239258,0.3623882,0.0,0
0,complete,True,True,0.28103781644858133,0.28103781644858133,0.045291900634765625,0.5051919,1.0,1
1,incomplete,True,True,0.28665857277755297,1.02,0.044152021408081055,0.54793715,0.0,1
2,incomplete,True,True,0.9892531138990063,3.52,0.17572283744812012,0.5881109,0.3333333333333333,1
3,incomplete,True,False,0.22483025315886507,0.8,0.04079008102416992,0.4203359,1.0,1
4,incomplete,True,False,0.15870370811214005,0.5647058823529412,0.04026293754577637,0.39464784,0.0,1
0,complete,True,True,1.7111537311069274,1.7111537311069274,0.18410181999206543,0.51025105,1.0,1
1,incomplete,True,False,1.474104442450298,0.8614681519565839,0.11197686195373535,0.40238512,0.75,1
2,incomplete,True,True,2.7004068450059338,1.5781205369894316,0.8249959945678711,0.6003327,0.75,1
3,incomplete,True,False,1.5176042088223392,0.8868894601542416,0.10812115669250488,0.26231945,0.0,1
4,incomplete,True,False,2.7566144082956496,1.6109682947729218,0.14264392852783203,0.3770051,0.25,1
0,complete,True,True,1.264670174018616,1.264670174018616,0.8815419673919678,0.52203184,1.0,1
1,incomplete,True,True,2.144440729857653,1.6956521739130432,0.5408968925476074,0.6000039,0.5,1
2,incomplete,True,True,2.613651692971806,2.0666666666666664,0.6644549369812012,0.5403853,0.5,1
3,incomplete,True,False,0.923409968331053,0.7301587301587302,0.1353468894958496,0.34436208,0.3333333333333333,1
4,incomplete,True,True,3.8306676285491412,3.028985507246377,0.1275801658630371,0.63533014,0.25,1
0,complete,True,True,4.5648571043148145,4.5648571043148145,0.7921581268310547,0.5323845,1.0,1
1,incomplete,True,True,6.267521172775059,1.3729939469191368,0.38700199127197266,0.536855,0.75,1
2,incomplete,True,False,1.7884809325938322,0.391793410335521,0.11794805526733398,0.07161915,0.25,1
3,incomplete,True,False,5.031798817979382,1.102290543382662,0.3468639850616455,0.4254204,0.5,1
