n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,complete,True,True,0.38364050243688586,0.38364050243688586,0.047456979751586914,0.5027333,1.0,1
1,incomplete,True,False,0.28884279631257775,0.7528996403608255,0.04334902763366699,0.43847406,1.0,1
2,incomplete,True,True,0.6171417288416692,1.6086459196085467,0.07251906394958496,0.5310118,0.0,1
3,incomplete,True,False,0.0,0.0,0.025775909423828125,0.32695615,0.0,0
4,incomplete,True,True,2.111461224745135,5.503749503332224,0.060070037841796875,0.8963083,1.0,1
0,complete,True,False,0.9371576908056213,0.9371576908056213,0.0646979808807373,0.4843914,1.0,1
1,incomplete,True,True,1.1076561681073764,1.1819314710581816,0.06831192970275879,0.52684546,0.6666666666666666,1
2,incomplete,True,False,0.0,0.0,0.023632049560546875,0.125382,0.0,0
3,incomplete,True,False,0.0,0.0,0.02437591552734375,0.125382,0.0,0
4,incomplete,True,False,0.7851674355363695,0.8378178435065774,0.03586983680725098,0.35390776,0.3333333333333333,1
0,complete,True,True,0.023836988088100728,0.023836988088100728,0.03825497627258301,0.5133804,1.0,1
1,incomplete,True,False,0.0,0.0,0.028499126434326172,0.4489891,0.0,0
2,incomplete,True,True,0.2994742719265051,12.563427511045354,0.040000200271606445,0.5133804,0.5,1
3,incomplete,True,True,0.9716837490050297,40.763696546464615,0.06535911560058594,0.87233365,0.3333333333333333,1
4,incomplete,True,False,0.0,0.0,0.018294095993041992,0.4489891,0.0,0
0,complete,True,True,0.8438050612726948,0.8438050612726948,0.06294608116149902,0.5085788,1.0,1
1,incomplete,True,True,2.2856402208783284,2.7087301626645157,0.14586281776428223,0.88093704,0.3333333333333333,1
2,incomplete,True,True,1.0584577277346314,1.2543865595427695,0.048979997634887695,0.57355964,0.5,1
3,incomplete,True,False,0.0,0.0,0.02518486976623535,0.16423535,0.0,0
4,incomplete,True,True,2.4093140145805068,2.8552969461294593,0.07375407218933105,0.86775804,0.5,1
0,complete,True,True,1.0119022323363684,1.0119022323363684,0.36098194122314453,0.5211014,1.0,1
1,incomplete,True,True,1.0119022323363684,1.0,0.2183091640472412,0.5211014,1.0,1
2,incomplete,True,True,2.648879474373632,2.617722730246051,0.4810600280761719,0.80873305,0.5,1
3,incomplete,True,True,1.3752427663585864,1.3590668371027363,0.27776193618774414,0.50461304,0.25,1
4,incomplete,True,False,1.8864711203774287,1.8642820028391272,0.25281596183776855,0.47018307,0.25,1
0,complete,True,True,0.035272458110781474,0.035272458110781474,0.04511690139770508,0.50585616,1.0,1
1,incomplete,True,True,0.035272458110781474,1.0,0.046365976333618164,0.50585616,1.0,1
2,incomplete,True,True,0.31679408492673156,8.981344139151432,0.08327102661132812,0.68942225,0.0,1
3,incomplete,True,False,0.0,0.0,0.020801067352294922,0.4578678,0.0,0
4,incomplete,True,True,1.2775828894863848,36.22040985841799,0.04894518852233887,0.72182834,0.0,1
0,complete,True,True,0.2833387013922217,0.2833387013922217,0.07436585426330566,0.5451923,1.0,1
1,incomplete,True,True,0.2833387013922217,1.0,0.06905293464660645,0.5451923,1.0,1
2,incomplete,True,False,0.08189417077144982,0.2890327737405872,0.03750801086425781,0.3630365,0.0,1
3,incomplete,True,False,0.08189417077144982,0.2890327737405872,0.03914904594421387,0.3630365,0.0,1
4,incomplete,True,True,2.807397748174229,9.908274917544668,0.07995200157165527,0.9063256,0.0,1
0,complete,True,False,0.25031429468216204,0.25031429468216204,0.07842898368835449,0.48483288,1.0,1
1,incomplete,True,False,0.060709408671645926,0.24253272770031784,0.03662300109863281,0.33727002,0.3333333333333333,1
2,incomplete,True,True,0.46055441663240615,1.8399045776318834,0.15914487838745117,0.52238965,0.25,1
3,incomplete,True,False,0.060709408671645926,0.24253272770031784,0.03349590301513672,0.33727002,0.3333333333333333,1
4,incomplete,True,False,0.0,0.0,0.02673196792602539,0.22274452,0.0,0
0,complete,True,True,0.9694776949238659,0.9694776949238659,0.07975292205810547,0.5137929,1.0,1
1,incomplete,True,True,0.9694776949238659,1.0,0.08202886581420898,0.5137929,1.0,1
2,incomplete,True,False,0.113051269279805,0.11661049023792448,0.042279958724975586,0.110278904,0.25,1
3,incomplete,True,True,2.5408730120165233,2.6208679429350465,0.5880799293518066,0.8960167,0.75,1
4,incomplete,True,False,0.5551615321475878,0.5726398194144995,0.03864002227783203,0.061996996,0.0,1
0,complete,True,True,0.40854748205402125,0.40854748205402125,0.09876298904418945,0.5016594,1.0,1
1,incomplete,True,False,0.4451691019164187,1.089638589077279,0.07431793212890625,0.49874204,0.5,1
2,incomplete,True,True,1.1188717709406448,2.7386578551785057,0.21842193603515625,0.7169292,0.25,1
