n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,1.5669399917760654,1.0,0.006242036819458008,0.5000280875369112,1.0,1
2,armin,0.4,100,True,True,2.7186998830522473,1.735037651295572,0.04935407638549805,0.6232770979245177,0.5,1
2,armin,0.5,100,True,True,2.7186998830522473,1.735037651295572,0.059190988540649414,0.6232770979245177,0.5,1
2,armin,0.6,100,True,True,2.8609006336468026,1.825788255237575,0.046499013900756836,0.6419882745267906,0.6666666666666666,1
2,armin,0.7,100,True,True,3.11218328920663,1.9861534618687546,0.04410195350646973,0.6671598419560958,0.6666666666666666,1
2,armin,0.8,100,True,True,3.3807635514729464,2.1575577681446387,0.04055905342102051,0.6946561478166277,0.6666666666666666,1
0,optimal,1.0,0,True,True,1.6836002742924547,1.0,0.007408857345581055,0.500760637873347,1.0,1
2,armin,0.4,100,True,False,1.0132380306954887,0.6018281454137381,0.035060882568359375,0.4372100619124898,1.0,1
2,armin,0.5,100,True,False,1.0322707204780237,0.6131329011049508,0.029528141021728516,0.43892257906127263,0.75,1
2,armin,0.6,100,True,True,1.6836002742924547,1.0,0.057090044021606445,0.500760637873347,1.0,1
2,armin,0.7,100,True,True,1.9271142422840009,1.1446388265135468,0.04077291488647461,0.5340996155339975,0.75,1
2,armin,0.8,100,True,True,1.9625003218189845,1.1656569268757928,0.04636406898498535,0.5394856384525079,0.75,1
0,optimal,1.0,0,True,True,0.8912254331083403,1.0,0.006231069564819336,0.5089350753992679,1.0,1
2,armin,0.4,100,True,False,0.689312842761799,0.7734438640935911,0.03552103042602539,0.47802272918097244,0.6666666666666666,1
2,armin,0.5,100,True,False,0.6599079267491721,0.740450061492973,0.038507938385009766,0.46759920692635504,0.6666666666666666,1
2,armin,0.6,100,True,False,0.689312842761799,0.7734438640935911,0.03440594673156738,0.47802272918097244,0.6666666666666666,1
2,armin,0.7,100,True,True,0.8912254331083403,1.0,0.04095315933227539,0.5089350753992679,1.0,1
2,armin,0.8,100,True,True,0.8912254331083403,1.0,0.03849387168884277,0.5089350753992679,1.0,1
0,optimal,1.0,0,True,True,1.1313909487947886,1.0,0.006124019622802734,0.5028110738343377,1.0,1
2,armin,0.4,100,True,False,0.0,0.0,0.02348613739013672,0.32667740212422836,0.0,0
2,armin,0.5,100,True,False,0.0,0.0,0.023678064346313477,0.32667740212422836,0.0,1
2,armin,0.6,100,True,False,0.0,0.0,0.024178028106689453,0.32667740212422836,0.0,1
2,armin,0.7,100,True,False,0.0,0.0,0.02314901351928711,0.32667740212422836,0.0,1
2,armin,0.8,100,True,False,0.21814616949443053,0.19281236934660842,0.02964496612548828,0.3528641685634548,0.25,0
0,optimal,1.0,0,True,True,2.6575523793121363,1.0,0.006903171539306641,0.501627607835305,1.0,1
2,armin,0.4,100,True,False,2.271933413161415,0.8548969460949882,0.04964590072631836,0.4529487698950163,1.0,1
2,armin,0.5,100,True,False,2.4778571053960103,0.9323831675661508,0.04136395454406738,0.47246091440941107,1.0,1
2,armin,0.6,100,True,False,2.719387129211378,1.0232675564104015,0.048150062561035156,0.49656788353043235,0.75,1
2,armin,0.7,100,True,True,3.082649677386118,1.1599582011565135,0.04332613945007324,0.5345915593354313,0.5,1
2,armin,0.8,100,True,True,2.8990824031275038,1.0908843888442505,0.05075383186340332,0.5257396532274189,0.75,1
0,optimal,1.0,0,True,True,0.6611157613020153,1.0,0.0062389373779296875,0.5016810566066292,1.0,1
2,armin,0.4,100,True,False,0.0,0.0,0.0220639705657959,0.4066038616187597,0.0,1
2,armin,0.5,100,True,False,0.0,0.0,0.021981000900268555,0.4066038616187597,0.0,1
2,armin,0.6,100,True,False,0.07276398584303559,0.110062397695273,0.023905038833618164,0.43535750503469706,0.3333333333333333,0
2,armin,0.7,100,True,False,0.07276398584303559,0.110062397695273,0.025166034698486328,0.43535750503469706,0.3333333333333333,1
2,armin,0.8,100,True,False,0.4098331057421885,0.6199112617358488,0.026165008544921875,0.47386415832407647,1.0,0
0,optimal,1.0,0,True,True,0.25334206436965695,1.0,0.003461122512817383,0.5012864278342277,1.0,1
2,armin,0.4,100,True,False,0.0,0.0,0.023138999938964844,0.4803017360819746,0.0,1
2,armin,0.5,100,True,False,0.0,0.0,0.02471184730529785,0.4803017360819746,0.0,0
2,armin,0.6,100,True,False,0.0,0.0,0.027625083923339844,0.4803017360819746,0.0,1
2,armin,0.7,100,True,False,0.0,0.0,0.023040056228637695,0.4803017360819746,0.0,0
2,armin,0.8,100,True,True,0.25334206436965695,1.0,0.032672882080078125,0.5012864278342277,1.0,0
0,optimal,1.0,0,True,True,0.29659418597892706,1.0,0.004025936126708984,0.5009879761808362,1.0,1
2,armin,0.4,100,True,False,0.060513501335881605,0.20402794186997675,0.025702953338623047,0.47326694886190157,0.0,1
2,armin,0.5,100,True,False,0.060513501335881605,0.20402794186997675,0.025307893753051758,0.47326694886190157,0.0,1
2,armin,0.6,100,True,True,0.29659418597892706,1.0,0.026933908462524414,0.5009879761808362,1.0,1
2,armin,0.7,100,True,True,0.4692732806752781,1.582206607072938,0.03672909736633301,0.5383402465716205,0.0,1
2,armin,0.8,100,True,True,0.4692732806752781,1.582206607072938,0.028567075729370117,0.5383402465716205,0.0,0
0,optimal,1.0,0,True,True,0.783039107788993,1.0,0.0033059120178222656,0.5052842465282876,1.0,1
2,armin,0.4,100,True,True,0.9286239788243391,1.1859228607960883,0.03414201736450195,0.521098301984895,0.6666666666666666,1
2,armin,0.5,100,True,True,1.0343217633488198,1.320906903704151,0.032935142517089844,0.5330768124321017,1.0,1
2,armin,0.6,100,True,True,1.349165137733665,1.7229856393037615,0.047631025314331055,0.5644179690958631,0.6666666666666666,1
2,armin,0.7,100,True,True,1.2452219747336062,1.590242380421641,0.029457807540893555,0.5530699499226939,0.5,1
2,armin,0.8,100,True,True,2.282137954221387,2.9144622937994544,0.04522299766540527,0.6405439776887254,0.5,1
0,optimal,1.0,0,True,True,4.612325374095419,1.0,0.013228893280029297,0.5095641457677528,1.0,1
2,armin,0.4,100,True,False,3.226123443990203,0.6994570378987884,0.04136300086975098,0.3446460355457782,0.75,1
2,armin,0.5,100,True,False,3.530675974481878,0.7654871866394125,0.04236602783203125,0.37376353918499716,0.75,1
2,armin,0.6,100,True,False,3.8110425991978003,0.8262735800475117,0.05855607986450195,0.39593798286759885,0.75,1
