n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,2.3952660878746364,1.0,0.018136024475097656,0.5018711406022998,1.0,1
2,armin,0.4,100,True,True,2.5195774922079477,1.0518987869291863,0.05678606033325195,0.5172078789457477,0.75,1
2,armin,0.5,100,True,True,2.7401044804700216,1.143966632492746,0.08286595344543457,0.5403816443376313,0.75,1
2,armin,0.6,100,True,True,2.7401044804700216,1.143966632492746,0.07238006591796875,0.5403816443376313,0.75,1
2,armin,0.7,100,True,True,2.8569482063714187,1.1927477372279927,0.05817985534667969,0.5519096273002229,0.75,1
2,armin,0.8,100,True,True,3.1060000465709288,1.2967244275256866,0.06535696983337402,0.5748559137156286,0.75,1
0,optimal,1.0,0,True,True,2.2163628467965717,1.0,0.020930051803588867,0.5010213361608586,1.0,1
2,armin,0.4,100,True,True,2.2163628467965717,1.0,0.23658394813537598,0.5010213361608586,1.0,1
2,armin,0.5,100,True,True,2.2163628467965717,1.0,0.18620681762695312,0.5010213361608586,1.0,1
2,armin,0.6,100,True,True,2.267488953832985,1.0230675708674275,0.21796083450317383,0.5068476422779782,1.0,1
2,armin,0.7,100,True,True,2.267488953832985,1.0230675708674275,0.10964512825012207,0.5068476422779782,1.0,1
2,armin,0.8,100,True,True,2.267488953832985,1.0230675708674275,0.11223006248474121,0.5068476422779782,1.0,1
0,optimal,1.0,0,True,True,0.7411691662868802,1.0,0.014322042465209961,0.5000723278410484,1.0,1
2,armin,0.4,100,True,True,1.1222441206217248,1.5141538149029583,0.09155416488647461,0.5393462599524601,0.75,1
2,armin,0.5,100,True,True,1.1222441206217248,1.5141538149029583,0.09237098693847656,0.5393462599524601,0.75,1
2,armin,0.6,100,True,True,1.2328685959095802,1.663410530265341,0.0786287784576416,0.5546526885966823,0.75,1
2,armin,0.7,100,True,True,1.2874904033620438,1.73710734596817,0.07210302352905273,0.5635804895520169,0.75,1
2,armin,0.8,100,True,True,1.4127626189694058,1.9061270803359023,0.06716799736022949,0.583377463807591,0.75,1
0,optimal,1.0,0,True,True,2.7752938933031954,1.0,0.022966861724853516,0.5002660396727839,1.0,1
2,armin,0.4,100,True,True,3.252035505801508,1.1717805864267903,0.0988469123840332,0.5521767542243752,1.0,1
2,armin,0.5,100,True,True,3.3080038330314316,1.191947217198751,0.12093019485473633,0.558139638102338,1.0,1
2,armin,0.6,100,True,True,3.3422891933034706,1.2043009936239326,0.09171915054321289,0.5611149149640344,1.0,1
2,armin,0.7,100,True,True,3.5510286986355872,1.2795144713157212,0.08260798454284668,0.584444576890571,1.0,1
2,armin,0.8,100,True,True,3.6714609585317204,1.3229088880968545,0.07422709465026855,0.598598525800919,1.0,1
0,optimal,1.0,0,True,True,0.9921364164616022,1.0,0.016698837280273438,0.5016280518534506,1.0,1
2,armin,0.4,100,True,False,0.8106620915671504,0.817087326013423,0.0441431999206543,0.46720918183547777,0.0,1
2,armin,0.5,100,True,False,0.8541517706250441,0.860921700335653,0.055361032485961914,0.48806052786209353,0.3333333333333333,1
2,armin,0.6,100,True,False,0.8541517706250441,0.860921700335653,0.04446816444396973,0.48806052786209353,0.3333333333333333,1
2,armin,0.7,100,True,False,0.9757729284462402,0.9835068164580416,0.09169697761535645,0.49968581336140483,0.6666666666666666,0
2,armin,0.8,100,True,True,1.1427425343776405,1.1517998083904293,0.060739994049072266,0.5135355253492395,0.6666666666666666,1
0,optimal,1.0,0,True,True,0.776288847598113,1.0,0.011697053909301758,0.5015535135800735,1.0,1
2,armin,0.4,100,True,True,1.0058578999680496,1.2957263305794458,0.08225893974304199,0.5247882911391315,1.0,1
