n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,13.119317492839725,1.0,0.01497793197631836,0.5261930218255028,1.0,1
2,armin,0.4,100,True,True,28.135226409696713,2.1445647934850562,0.028129100799560547,0.5946892473878496,1.0,1
2,armin,0.5,100,True,False,0.0,0.0,0.02544403076171875,0.053517095701764994,0.0,1
2,armin,0.6,100,True,False,0.0,0.0,0.024149179458618164,0.053517095701764994,0.0,1
2,armin,0.7,100,True,False,0.0,0.0,0.0248110294342041,0.053517095701764994,0.0,1
2,armin,0.8,100,True,False,0.0,0.0,0.023782968521118164,0.053517095701764994,0.0,1
0,optimal,1.0,0,True,True,3.2482902799681774,1.0,0.003106832504272461,0.5182418658757245,1.0,1
2,armin,0.4,100,True,False,2.7310103715631224,0.8407531766495565,0.03776288032531738,0.4977515486532833,0.6666666666666666,1
2,armin,0.5,100,True,False,2.7310103715631224,0.8407531766495565,0.03426504135131836,0.4977515486532833,0.6666666666666666,1
2,armin,0.6,100,True,False,2.7310103715631224,0.8407531766495565,0.03400278091430664,0.4977515486532833,0.6666666666666666,1
2,armin,0.7,100,True,True,3.2482902799681774,1.0,0.03164386749267578,0.5182418658757245,1.0,1
2,armin,0.8,100,True,True,3.2482902799681774,1.0,0.02307295799255371,0.5182418658757245,1.0,1
0,optimal,1.0,0,True,True,3.248986223565902,1.0,0.0024559497833251953,0.5457066728398037,1.0,1
2,armin,0.4,100,True,False,2.7611375634486803,0.8498458822082087,0.023350954055786133,0.4967038984109764,0.6666666666666666,1
2,armin,0.5,100,True,False,2.7611375634486803,0.8498458822082087,0.02322697639465332,0.4967038984109764,0.6666666666666666,1
2,armin,0.6,100,True,True,3.248986223565902,1.0,0.02815699577331543,0.5457066728398037,1.0,1
2,armin,0.7,100,True,True,3.248986223565902,1.0,0.021963119506835938,0.5457066728398037,1.0,1
2,armin,0.8,100,True,True,3.248986223565902,1.0,0.022168874740600586,0.5457066728398037,1.0,1
0,optimal,1.0,0,True,True,1.671120327061183,1.0,0.0015921592712402344,0.5086005282365882,1.0,1
2,armin,0.4,100,True,True,1.671120327061183,1.0,0.021867036819458008,0.5086005282365882,1.0,1
2,armin,0.5,100,True,True,1.671120327061183,1.0,0.021880149841308594,0.5086005282365882,1.0,1
2,armin,0.6,100,True,True,22.4417850061201,13.429185584491105,0.03559112548828125,0.8175204177646578,0.25,1
2,armin,0.7,100,True,True,22.4417850061201,13.429185584491105,0.03562498092651367,0.8175204177646578,0.25,1
2,armin,0.8,100,True,True,23.263611285198646,13.920967214916129,0.03397393226623535,0.8340879301124016,0.3333333333333333,1
0,optimal,1.0,0,True,True,4.7607921300806275,1.0,0.0016410350799560547,0.5103957238298371,1.0,1
2,armin,0.4,100,True,False,4.543286653288995,0.9543131750245207,0.024682044982910156,0.4899001636543172,0.75,1
2,armin,0.5,100,True,True,4.7607921300806275,1.0,0.023205041885375977,0.5103957238298371,1.0,1
2,armin,0.6,100,True,True,4.7607921300806275,1.0,0.023733139038085938,0.5103957238298371,1.0,1
2,armin,0.7,100,True,True,4.7607921300806275,1.0,0.02437281608581543,0.5103957238298371,1.0,1
2,armin,0.8,100,True,True,5.504264049745595,1.1561655916391327,0.028397083282470703,0.5384853179259244,0.75,1
0,optimal,1.0,0,True,True,3.292628083293447,1.0,0.0021941661834716797,0.5168050606526335,1.0,1
2,armin,0.4,100,True,True,3.292628083293447,1.0,0.027293920516967773,0.5168050606526335,1.0,1
2,armin,0.5,100,True,False,2.997699722190236,0.9104276724724375,0.024452924728393555,0.49438071506967807,0.5,1
2,armin,0.6,100,True,True,3.292628083293447,1.0,0.029284000396728516,0.5168050606526335,1.0,1
2,armin,0.7,100,True,True,4.751368196280027,1.4430321542806854,0.033631086349487305,0.5993963231895394,0.6666666666666666,1
2,armin,0.8,100,True,True,4.751368196280027,1.4430321542806854,0.033162832260131836,0.5993963231895394,0.6666666666666666,1
0,optimal,1.0,0,True,True,3.731795653697409,1.0,0.0020089149475097656,0.533362555182479,1.0,1
2,armin,0.4,100,True,True,3.731795653697409,1.0,0.02410578727722168,0.533362555182479,1.0,1
2,armin,0.5,100,True,True,3.731795653697409,1.0,0.024173974990844727,0.533362555182479,1.0,1
2,armin,0.6,100,True,True,4.881853380815283,1.3081781088357325,0.037338972091674805,0.601607046627127,1.0,1
2,armin,0.7,100,True,True,4.881853380815283,1.3081781088357325,0.035427093505859375,0.601607046627127,1.0,1
2,armin,0.8,100,True,True,4.881853380815283,1.3081781088357325,0.02953815460205078,0.601607046627127,1.0,1
0,optimal,1.0,0,True,True,3.7802788387020905,1.0,0.0016570091247558594,0.5137025392576431,1.0,1
2,armin,0.4,100,True,True,3.7802788387020905,1.0,0.02457904815673828,0.5137025392576431,1.0,1
2,armin,0.5,100,True,True,3.7802788387020905,1.0,0.024613142013549805,0.5137025392576431,1.0,1
2,armin,0.6,100,True,True,39.217404568979255,10.37420948091862,0.026762008666992188,0.8392117880401797,0.5,1
2,armin,0.7,100,True,True,39.217404568979255,10.37420948091862,0.027271032333374023,0.8392117880401797,0.5,1
