n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,2.3952660878746364,1.0,0.018156051635742188,0.5018711406022998,1.0,1
2,armin,0.75,100,True,True,2.9785693641926145,1.2435233727354083,0.0776979923248291,0.563382089644973,0.75,1
2,armin,0.75,200,True,True,2.9785693641926145,1.2435233727354083,0.13485097885131836,0.563382089644973,0.75,1
2,armin,0.75,300,True,True,2.9286280115580454,1.222673349897702,0.20144891738891602,0.5539454929651575,0.75,1
2,armin,0.75,400,True,True,2.9701587916890886,1.2400120415534146,0.2799110412597656,0.5557789562271505,0.75,1
2,armin,0.75,500,True,True,2.9785693641926145,1.2435233727354083,0.37406086921691895,0.563382089644973,0.75,1
0,optimal,1.0,0,True,True,2.2163628467965717,1.0,0.021101951599121094,0.5010213361608586,1.0,1
2,armin,0.75,100,True,True,2.367379948225514,1.0681373546967796,0.06660890579223633,0.5140194576570001,0.75,1
2,armin,0.75,200,True,True,2.3149055360430917,1.0444614424885117,0.21233201026916504,0.5093646386656632,0.75,1
2,armin,0.75,300,True,True,2.367379948225514,1.0681373546967796,0.20261812210083008,0.5140194576570001,0.75,1
2,armin,0.75,400,True,True,2.3399239588603375,1.0557494961812572,0.33106493949890137,0.5126203018449969,0.75,1
2,armin,0.75,500,True,True,2.367379948225514,1.0681373546967796,0.4412970542907715,0.5140194576570001,0.75,1
0,optimal,1.0,0,True,True,0.7411691662868802,1.0,0.014271020889282227,0.5000723278410484,1.0,1
2,armin,0.75,100,True,True,1.0907243400864886,1.471626707774171,0.08322596549987793,0.5554086794133437,1.0,1
2,armin,0.75,200,True,True,1.0489851822910174,1.415311416078246,0.15528202056884766,0.5494386921010286,1.0,1
2,armin,0.75,300,True,True,1.0907243400864886,1.471626707774171,0.3047938346862793,0.5554086794133437,1.0,1
2,armin,0.75,400,True,True,1.0907243400864886,1.471626707774171,0.4426121711730957,0.5554086794133437,1.0,1
2,armin,0.75,500,True,True,1.0907243400864886,1.471626707774171,0.439525842666626,0.5554086794133437,1.0,1
0,optimal,1.0,0,True,True,2.7752938933031954,1.0,0.023871898651123047,0.5002660396727839,1.0,1
2,armin,0.75,100,True,False,2.7657196456219966,0.9965501860165867,0.08491086959838867,0.4998207544273311,1.0,1
2,armin,0.75,200,True,False,2.7657196456219966,0.9965501860165867,0.15031099319458008,0.4998207544273311,1.0,1
2,armin,0.75,300,True,False,2.7657196456219966,0.9965501860165867,0.2083580493927002,0.4998207544273311,1.0,1
2,armin,0.75,400,True,False,2.7657196456219966,0.9965501860165867,0.33901190757751465,0.4998207544273311,1.0,1
2,armin,0.75,500,True,False,2.7657196456219966,0.9965501860165867,0.3984200954437256,0.4998207544273311,1.0,1
0,optimal,1.0,0,True,True,0.9921364164616022,1.0,0.017105817794799805,0.5016280518534506,1.0,1
2,armin,0.75,100,True,True,1.1553421022923276,1.1644992393412885,0.08756804466247559,0.5171333909192233,1.0,1
2,armin,0.75,200,True,True,1.2516835517516514,1.2616042824188525,0.11884117126464844,0.5251710028291632,0.75,1
2,armin,0.75,300,True,True,1.2516835517516514,1.2616042824188525,0.17409396171569824,0.5251710028291632,0.75,1
2,armin,0.75,400,True,True,1.2516835517516514,1.2616042824188525,0.38059401512145996,0.5251710028291632,0.75,1
2,armin,0.75,500,True,True,1.2516835517516514,1.2616042824188525,0.5308060646057129,0.5251710028291632,0.75,1
0,optimal,1.0,0,True,True,0.776288847598113,1.0,0.012185096740722656,0.5015535135800735,1.0,1
2,armin,0.75,100,True,True,1.467064703722669,1.8898438490542022,0.08257389068603516,0.5626472381569083,0.75,1
2,armin,0.75,200,True,True,1.3943524390244937,1.7961773421564777,0.13567686080932617,0.5594093261800293,1.0,1
2,armin,0.75,300,True,True,1.6082904268806375,2.071768043373018,0.2811930179595947,0.5713205414516822,0.75,1
2,armin,0.75,400,True,True,1.713719708310136,2.2075799666741234,0.2962839603424072,0.5821937844966552,1.0,1
2,armin,0.75,500,True,True,1.690272856542187,2.1773761941473184,0.4399261474609375,0.5772685658781732,0.75,1
