n_missing,method,confidence,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,True,True,0.7728818446789841,1.0,0.011348962783813477,0.5082488038771448,1.0,1
1,mean,1.0,True,True,0.7728818446789841,1.0,0.012081146240234375,0.5082488038771448,1.0,1
1,knn,1.0,True,True,0.7728818446789841,1.0,0.012029170989990234,0.5082488038771448,1.0,1
1,mice,1.0,True,True,0.7728818446789841,1.0,0.011646032333374023,0.5082488038771448,1.0,1
1,robust,1.0,True,True,0.9007863790585591,1.1654904113224447,0.07910799980163574,0.5891434657442807,1.0,1
1,armin,0.75,True,True,0.9007863790585591,1.1654904113224447,1.2244412899017334,0.5891434657442807,1.0,1
2,mean,1.0,True,True,0.9007863790585591,1.1654904113224447,0.011440038681030273,0.5891434657442807,1.0,1
2,knn,1.0,True,False,0.7095869810248944,0.9181053817089219,0.03476905822753906,0.4673675748503566,1.0,1
2,mice,1.0,True,True,0.7728818446789841,1.0,0.011456012725830078,0.5082488038771448,1.0,1
2,robust,1.0,True,True,1.0289363235358406,1.3312983486670056,0.06820821762084961,0.6654891618301421,1.0,1
2,armin,0.75,True,True,0.9007863790585591,1.1654904113224447,1.1864879131317139,0.5891434657442807,1.0,1
3,mean,1.0,True,True,0.9649600840777778,1.2485221262747777,0.011311054229736328,0.6281151756996393,1.0,1
3,knn,1.0,True,True,0.9649600840777778,1.2485221262747777,0.029748916625976562,0.6281151756996393,1.0,1
3,mice,1.0,True,True,0.9649600840777778,1.2485221262747777,0.011224031448364258,0.6281151756996393,1.0,1
3,robust,1.0,True,True,1.155135201691546,1.4945818816216734,0.07404065132141113,0.7340522797756698,1.0,1
3,armin,0.75,True,True,1.0289363235358406,1.3312983486670056,1.1907892227172852,0.6654891618301421,1.0,1
0,optimal,1.0,True,True,0.7106263798740572,1.0,0.018898963928222656,0.5060480773440309,1.0,1
1,mean,1.0,True,False,0.6966522316436056,0.9803354496452437,0.023694992065429688,0.48557293538158663,0.5,1
1,knn,1.0,True,False,0.6333573679895157,0.891266333374458,0.03249216079711914,0.4448656087023507,0.5,1
1,mice,1.0,True,False,0.6966522316436056,0.9803354496452437,0.017976999282836914,0.48557293538158663,0.5,1
1,robust,1.0,True,True,0.7106263798740572,1.0,0.08076333999633789,0.5060480773440309,1.0,1
1,armin,0.75,True,True,0.7106263798740572,1.0,1.5498387813568115,0.5060480773440309,1.0,1
