n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,complete,True,True,0.3996993270081091,0.3996993270081091,0.048269033432006836,0.5027333,1.0,1
1,incomplete,True,False,0.19793369828359791,0.4952064837466745,0.045655012130737305,0.43060064,0.0,1
2,incomplete,True,True,1.049208297735211,2.624993906266759,0.05684399604797363,0.7490827,1.0,1
3,incomplete,True,False,0.0,0.0,0.02477097511291504,0.32695615,0.0,0
4,incomplete,True,True,1.6737372783548448,4.187490859400141,0.051219940185546875,0.8963083,1.0,1
0,complete,True,False,1.1282644216519715,1.1282644216519715,0.06843805313110352,0.4843914,1.0,1
1,incomplete,True,False,1.3259224554691997,1.1751876865246031,0.09161877632141113,0.4973371,0.3333333333333333,1
2,incomplete,True,False,0.0,0.0,0.026723861694335938,0.125382,0.0,0
3,incomplete,True,False,0.0,0.0,0.025532960891723633,0.125382,0.0,0
4,incomplete,True,False,0.9992466687650841,0.8856493651568101,0.04078483581542969,0.35390776,0.3333333333333333,1
0,complete,True,True,0.02498223841000005,0.02498223841000005,0.0408480167388916,0.5133804,1.0,1
1,incomplete,True,False,0.0,0.0,0.02967214584350586,0.4489891,0.0,0
2,incomplete,True,True,0.2779246537614095,11.12488997984104,0.04134416580200195,0.5133804,0.5,1
3,incomplete,True,True,1.1906905528261797,47.66148386245335,0.059062957763671875,0.8695742,0.5,1
4,incomplete,True,False,0.0,0.0,0.01870107650756836,0.4489891,0.0,0
0,complete,True,True,0.8337545799796154,0.8337545799796154,0.058670997619628906,0.5085788,1.0,1
1,incomplete,True,True,1.8100124773125876,2.170917582673838,0.13766694068908691,0.88093704,0.3333333333333333,1
2,incomplete,True,False,0.9927696137012703,1.1907216314488402,0.05635881423950195,0.38941526,0.6666666666666666,1
3,incomplete,True,False,0.0,0.0,0.024911165237426758,0.16423535,0.0,0
4,incomplete,True,True,1.8243907607820777,2.1881628054465168,0.053349971771240234,0.86775804,0.5,1
0,complete,True,True,1.5076956376979498,1.5076956376979498,0.2184300422668457,0.5170619,1.0,1
1,incomplete,True,True,1.5076956376979498,1.0,0.2643158435821533,0.5170619,1.0,1
2,incomplete,True,True,2.3838643890039513,1.5811310515189885,0.21841192245483398,0.7783085,0.75,1
3,incomplete,True,False,1.2943088427442595,0.8584682547204929,0.1492300033569336,0.4102363,0.5,1
4,incomplete,True,True,1.7861607686196936,1.1846958523717181,0.2186260223388672,0.5285368,0.25,1
0,complete,True,True,0.10376780915024542,0.10376780915024542,0.044300079345703125,0.50585616,1.0,1
1,incomplete,True,True,0.10376780915024542,1.0,0.04423213005065918,0.50585616,1.0,1
2,incomplete,True,True,0.5534369236562933,5.333416289583332,0.06220889091491699,0.7100284,0.3333333333333333,1
3,incomplete,True,False,0.0,0.0,0.020572900772094727,0.4578678,0.0,0
4,incomplete,True,True,1.0673834323267766,10.286267398989912,0.039407968521118164,0.72182834,0.0,1
0,complete,True,True,0.4050621357501335,0.4050621357501335,0.08600187301635742,0.5011771,1.0,1
1,incomplete,True,True,0.4050621357501335,1.0,0.07730698585510254,0.5011771,1.0,1
2,incomplete,True,False,0.09636556435605378,0.23790316559111271,0.03844118118286133,0.3630365,0.25,1
3,incomplete,True,False,0.09636556435605378,0.23790316559111271,0.0384061336517334,0.3630365,0.25,1
4,incomplete,True,True,2.225750239307961,5.49483657658127,0.05043601989746094,0.9063256,0.25,1
0,complete,True,False,0.19832494974636877,0.19832494974636877,0.0928809642791748,0.48483288,1.0,1
1,incomplete,True,False,0.017294634858374236,0.08720352573134027,0.03766798973083496,0.33727002,0.3333333333333333,1
2,incomplete,True,True,0.6230968338856079,3.141797513033362,0.15947508811950684,0.52238965,0.25,1
3,incomplete,True,False,0.017294634858374236,0.08720352573134027,0.034867048263549805,0.33727002,0.3333333333333333,1
4,incomplete,True,False,0.0,0.0,0.025250911712646484,0.22274452,0.0,0
0,complete,True,True,1.1616237240883156,1.1616237240883156,0.06257414817810059,0.50362456,1.0,1
1,incomplete,True,True,1.1616237240883156,1.0,0.06185102462768555,0.50362456,1.0,1
2,incomplete,True,False,0.24798348985486507,0.21348004927283273,0.04365396499633789,0.110278904,0.0,1
3,incomplete,True,True,2.636805592917057,2.2699309064013113,0.17159199714660645,0.8741696,0.3333333333333333,1
4,incomplete,True,False,0.7295739260282736,0.6280638996081711,0.03866410255432129,0.114367366,0.0,1
0,complete,True,True,0.31213664946257447,0.31213664946257447,0.09050798416137695,0.51048064,1.0,1
1,incomplete,True,False,0.3769299913308101,1.2075800518131865,0.06317996978759766,0.49396557,0.5,1
2,incomplete,True,True,1.1280731320663726,3.614036140929455,0.1926131248474121,0.7169292,0.25,1
3,incomplete,True,False,0.03967632378730586,0.12711203203987456,0.04887795448303223,0.41103125,0.25,1
4,incomplete,True,False,0.3441203359645278,1.1024669373398532,0.04206204414367676,0.38899565,0.25,1
0,complete,True,True,0.4770441428260123,0.4770441428260123,0.06861305236816406,0.50818646,1.0,1
1,incomplete,True,True,0.4770441428260123,1.0,0.07071995735168457,0.50818646,1.0,1
2,incomplete,True,True,1.2375310569800249,2.594164660840155,0.08874392509460449,0.7458284,0.75,1
3,incomplete,True,True,1.5987935608615516,3.3514583187004225,0.0904231071472168,0.7663654,0.3333333333333333,1
4,incomplete,True,True,1.9049446329513227,3.9932250748671168,0.09893989562988281,0.83930624,0.3333333333333333,1
0,complete,True,True,0.06410795333395203,0.06410795333395203,0.04937887191772461,0.50642836,1.0,1
1,incomplete,True,True,0.06410795333395203,1.0,0.058174848556518555,0.50642836,1.0,1
2,incomplete,True,False,0.0,0.0,0.029340028762817383,0.49897128,0.0,0
3,incomplete,True,False,0.08647317429187118,1.3488681168998475,0.039114952087402344,0.49897128,0.0,1
4,incomplete,True,False,0.0,0.0,0.023105859756469727,0.49897128,0.0,0
0,complete,True,True,0.15430476121043182,0.15430476121043182,0.04949212074279785,0.5456491,1.0,1
1,incomplete,True,True,0.15430476121043182,1.0,0.04801297187805176,0.5456491,1.0,1
2,incomplete,True,True,2.3683981628813457,15.34883398478847,0.12657904624938965,0.8640224,0.3333333333333333,1
3,incomplete,True,False,9.500014988156585e-06,6.156657068540497e-05,0.03175091743469238,0.39573807,0.6666666666666666,0
4,incomplete,True,True,1.5324006854058834,9.931000659895936,0.08933305740356445,0.5107335,0.3333333333333333,1
0,complete,True,True,0.08431961587751238,0.08431961587751238,0.038598060607910156,0.5214464,1.0,1
1,incomplete,True,True,0.4918349418064358,5.8329836620805295,0.15169286727905273,0.7272662,0.25,1
